% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1708089340.7225 0 0 0 0
1708089340.7298 0 0 0 0
1708089340.7375 4294967295 4294967295 -1 -1
1708089340.7463 4294967295 0 0 1
1708089340.7539 4294967295 0 0 0
1708089340.7620 4294967295 0 0 0
1708089340.7697 4294967295 0 0 0
1708089340.7777 4294967295 0 0 0
1708089340.7862 4294967295 0 0 0
1708089340.7939 4294967295 0 0 0
1708089340.8015 4294967295 0 0 0
1708089340.8096 4294967295 0 0 0
1708089340.8183 4294967295 0 0 0
1708089340.8265 4294967295 0 0 0
1708089340.8341 4294967295 0 0 0
1708089340.8419 4294967295 0 0 0
1708089340.8496 4294967295 0 0 0
1708089340.8577 4294967295 0 0 0
1708089340.8655 4294967295 0 0 0
1708089340.8739 4294967295 0 0 0
1708089340.8813 4294967295 0 0 0
1708089340.8901 0 0 1 0
1708089340.8976 3 3 3 3
1708089340.9057 8 8 5 5
1708089340.9137 11 10 3 2
1708089340.9224 12 11 1 1
1708089340.9297 14 13 2 2
1708089340.9378 18 16 4 3
1708089340.9459 21 19 3 3
1708089340.9536 25 23 4 4
1708089340.9620 29 27 4 4
1708089340.9701 34 31 5 4
1708089340.9781 40 36 6 5
1708089340.9863 46 42 6 6
1708089340.9933 52 47 6 5
1708089341.0022 59 53 7 6
1708089341.0095 65 59 6 6
1708089341.0176 72 66 7 7
1708089341.0254 80 73 8 7
1708089341.0337 87 81 7 8
1708089341.0418 94 88 7 7
1708089341.0498 102 95 8 7
1708089341.0579 110 102 8 7
1708089341.0659 116 110 6 8
1708089341.0738 122 117 6 7
1708089341.0821 130 123 8 6
1708089341.0894 139 130 9 7
1708089341.0974 146 138 7 8
1708089341.1055 153 146 7 8
1708089341.1140 159 152 6 6
1708089341.1218 167 158 8 6
1708089341.1301 175 166 8 8
1708089341.1382 181 175 6 9
1708089341.1462 187 182 6 7
1708089341.1533 195 188 8 6
1708089341.1615 202 195 7 7
1708089341.1693 209 203 7 8
1708089341.1779 214 210 5 7
1708089341.1853 219 216 5 6
1708089341.1942 227 223 8 7
1708089341.2013 235 230 8 7
1708089341.2097 242 237 7 7
1708089341.2177 247 243 5 6
1708089341.2259 253 249 6 6
1708089341.2334 260 257 7 8
1708089341.2413 268 265 8 8
1708089341.2495 275 270 7 5
1708089341.2577 281 274 6 4
1708089341.2654 287 282 6 8
1708089341.2737 294 290 7 8
1708089341.2819 301 297 7 7
1708089341.2897 308 303 7 6
1708089341.2977 315 310 7 7
1708089341.3059 320 317 5 7
1708089341.3137 327 324 7 7
1708089341.3219 336 331 9 7
1708089341.3303 343 338 7 7
1708089341.3380 349 345 6 7
1708089341.3461 355 351 6 6
1708089341.3542 362 358 7 7
1708089341.3619 369 365 7 7
1708089341.3702 376 371 7 6
1708089341.3775 382 377 6 6
1708089341.3853 387 384 5 7
1708089341.3934 394 391 7 7
1708089341.4014 403 398 9 7
1708089341.4094 410 406 7 8
1708089341.4175 415 413 5 7
1708089341.4256 421 419 6 6
1708089341.4335 428 425 7 6
1708089341.4416 436 434 8 9
1708089341.4497 442 442 6 8
1708089341.4577 448 448 6 6
1708089341.4657 456 454 8 6
1708089341.4738 464 461 8 7
1708089341.4817 471 468 7 7
1708089341.4898 476 476 5 8
1708089341.4979 482 483 6 7
1708089341.5059 490 488 8 5
1708089341.5140 498 493 8 5
1708089341.5221 504 501 6 8
1708089341.5300 509 510 5 9
1708089341.5381 517 517 8 7
1708089341.5454 525 523 8 6
1708089341.5542 531 528 6 5
1708089341.5622 537 535 6 7
1708089341.5703 544 543 7 8
1708089341.5783 552 550 8 7
1708089341.5863 558 556 6 6
1708089341.5936 564 561 6 5
1708089341.6014 570 567 6 6
1708089341.6095 577 575 7 8
1708089341.6175 585 582 8 7
1708089341.6253 591 588 6 6
1708089341.6338 597 594 6 6
1708089341.6423 604 601 7 7
1708089341.6493 612 610 8 9
1708089341.6579 618 616 6 6
1708089341.6655 623 620 5 4
1708089341.6735 631 626 8 6
1708089341.6817 638 635 7 9
1708089341.6905 645 644 7 9
1708089341.6974 651 650 6 6
1708089341.7060 658 656 7 6
1708089341.7138 665 662 7 6
1708089341.7219 673 670 8 8
1708089341.7300 680 678 7 8
1708089341.7375 686 684 6 6
1708089341.7456 692 690 6 6
1708089341.7542 700 697 8 7
1708089341.7617 708 705 8 8
1708089341.7703 714 711 6 6
1708089341.7782 719 716 5 5
1708089341.7857 726 723 7 7
1708089341.7938 733 731 7 8
1708089341.8014 740 738 7 7
1708089341.8100 746 743 6 5
1708089341.8173 752 749 6 6
1708089341.8260 759 756 7 7
1708089341.8340 767 764 8 8
1708089341.8420 775 771 8 7
1708089341.8496 781 776 6 5
1708089341.8584 787 783 6 7
1708089341.8659 793 791 6 8
1708089341.8735 801 798 8 7
1708089341.8815 809 803 8 5
