% Edge sensor logfile normalized 'log_20240216_141539.902/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1708089341.5819 0 0 0 0 0 0 0 0  0.0000
1708089341.5899 0 0 0 0 0 0 0 0  0.0000
1708089341.5980 0 0 0 0 0 0 0 0  0.0000
1708089341.6061 0 0 0 0 0 0 0 0  0.0000
1708089341.6139 0 0 0 0 0 0 0 0  0.0000
1708089341.6219 0 0 0 0 0 0 0 0  0.0000
1708089341.6302 0 0 0 0 0 0 0 0  0.0000
1708089341.6371 0 0 0 0 0 0 0 0  0.0000
1708089341.6457 0 0 0 0 0 0 0 0  0.0000
1708089341.6544 0 0 0 0 0 0 0 0  0.0000
1708089341.6614 0 0 0 0 0 0 0 0  0.0000
1708089341.6700 0 0 0 0 0 0 0 0  0.0000
1708089341.6778 0 0 0 0 0 0 0 0  0.0000
1708089341.6852 0 0 0 0 0 0 0 0  0.0000
1708089341.6939 0 0 0 0 0 0 0 0  0.0000
1708089341.7025 0 0 0 0 0 0 0 0  0.0000
1708089341.7095 0 0 0 0 0 0 0 0  0.0000
1708089341.7173 0 0 0 0 0 0 0 0  0.0000
1708089341.7262 0 0 0 0 0 0 0 0  0.0000
1708089341.7335 0 0 0 0 0 0 0 0  0.0000
1708089341.7421 0 0 0 0 0 0 0 0  0.0000
1708089341.7496 0 0 0 0 0 0 0 0  0.0000
1708089341.7577 0 0 0 0 0 0 0 0  0.0000
1708089341.7652 0 0 0 0 0 0 0 0  0.0000
1708089341.7744 0 0 0 0 0 0 0 0  0.0000
1708089341.7816 0 0 0 0 0 0 0 0  0.0000
1708089341.7892 0 0 0 0 0 0 0 0  0.0000
1708089341.7979 0 0 0 0 0 0 0 0  0.0000
1708089341.8059 0 0 0 0 0 0 0 0  0.0000
1708089341.8138 0 0 0 0 0 0 0 0  0.0000
1708089341.8225 0 0 0 0 0 0 0 0  0.0000
1708089341.8298 0 0 0 0 0 0 0 0  0.0000
1708089341.8374 0 0 0 0 0 0 0 0  0.0000
1708089341.8461 0 0 0 0 0 0 0 0  0.0000
1708089341.8532 0 0 0 0 0 0 0 0  0.0000
1708089341.8612 0 0 0 0 0 0 0 0  0.0000
1708089341.8700 0 0 0 0 0 0 0 0  0.0000
1708089341.8784 0 0 0 0 0 0 0 0  0.0000
