% Edge sensor logfile normalized 'log_20240216_141546.651/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1708089347.9956 0 0 0 0 0 0 0 0  0.0000
1708089348.0034 0 0 0 0 0 0 0 0  0.0000
1708089348.0114 0 0 0 0 0 0 0 0  0.0000
1708089348.0197 0 0 0 0 0 0 0 0  0.0000
1708089348.0274 0 0 0 0 0 0 0 0  0.0000
1708089348.0356 0 0 0 0 0 0 0 0  0.0000
1708089348.0439 0 0 0 0 0 0 0 0  0.0000
1708089348.0517 0 0 0 0 0 0 0 0  0.0000
1708089348.0599 0 0 0 0 0 0 0 0  0.0000
1708089348.0682 0 0 0 0 0 0 0 0  0.0000
1708089348.0759 0 0 0 0 0 0 0 0  0.0000
1708089348.0833 0 0 0 0 0 0 0 0  0.0000
1708089348.0913 0 0 0 0 0 0 0 0  0.0000
1708089348.1001 0 0 0 0 0 0 0 0  0.0000
1708089348.1072 0 0 0 0 0 0 0 0  0.0000
1708089348.1153 0 0 0 0 0 0 0 0  0.0000
1708089348.1232 0 0 0 0 0 0 0 0  0.0000
1708089348.1317 0 0 0 0 0 0 0 0  0.0000
1708089348.1398 0 0 0 0 0 0 0 0  0.0000
1708089348.1476 0 0 0 0 0 0 0 0  0.0000
1708089348.1556 0 0 0 0 0 0 0 0  0.0000
1708089348.1638 0 0 0 0 0 0 0 0  0.0000
1708089348.1720 0 0 0 0 0 0 0 0  0.0000
1708089348.1801 0 0 0 0 0 0 0 0  0.0000
1708089348.1873 0 0 0 0 0 0 0 0  0.0000
1708089348.1962 0 0 0 0 0 0 0 0  0.0000
1708089348.2032 0 0 0 0 0 0 0 0  0.0000
1708089348.2116 0 0 0 0 0 0 0 0  0.0000
1708089348.2198 0 0 0 0 0 0 0 0  0.0000
1708089348.2279 0 0 0 0 0 0 0 0  0.0000
1708089348.2360 0 0 0 0 0 0 0 0  0.0000
1708089348.2438 0 0 0 0 0 0 0 0  0.0000
1708089348.2519 0 0 0 0 0 0 0 0  0.0000
1708089348.2601 0 0 0 0 0 0 0 0  0.0000
1708089348.2673 0 0 0 0 0 0 0 0  0.0000
1708089348.2756 0 0 0 0 0 0 0 0  0.0000
1708089348.2840 0 0 0 0 0 0 0 0  0.0000
1708089348.2918 0 0 0 0 0 0 0 0  0.0000
1708089348.2998 0 0 0 0 0 0 0 0  0.0000
1708089348.3081 0 0 0 0 0 0 0 0  0.0000
1708089348.3159 0 0 0 0 0 0 0 0  0.0000
1708089348.3242 0 0 0 0 0 0 0 0  0.0000
1708089348.3312 0 0 0 0 0 0 0 0  0.0000
1708089348.3401 0 0 0 0 0 0 0 0  0.0000
1708089348.3472 0 0 0 0 0 0 0 0  0.0000
1708089348.3557 0 0 0 0 0 0 0 0  0.0000
1708089348.3635 0 0 0 0 0 0 0 0  0.0000
1708089348.3719 0 0 0 0 0 0 0 0  0.0000
1708089348.3800 0 0 0 0 0 0 0 0  0.0000
1708089348.3878 0 0 0 0 0 0 0 0  0.0000
1708089348.3960 0 0 0 0 0 0 0 0  0.0000
1708089348.4034 0 0 0 0 0 0 0 0  0.0000
1708089348.4112 0 0 0 0 0 0 0 0  0.0000
1708089348.4195 0 0 0 0 0 0 0 0  0.0000
1708089348.4277 0 0 0 0 0 0 0 0  0.0000
1708089348.4356 0 0 0 0 0 0 0 0  0.0000
1708089348.4442 0 0 0 0 0 0 0 0  0.0000
1708089348.4514 0 0 0 0 0 0 0 0  0.0000
1708089348.4592 0 0 0 0 0 0 0 0  0.0000
1708089348.4675 0 0 0 0 0 0 0 0  0.0000
1708089348.4757 0 0 0 0 0 0 0 0  0.0000
1708089348.4835 0 0 0 0 0 0 0 0  0.0000
1708089348.4918 0 0 0 0 0 0 0 0  0.0000
1708089348.4999 0 0 0 0 0 0 0 0  0.0000
1708089348.5076 0 0 0 0 0 0 0 0  0.0000
1708089348.5157 0 0 0 0 0 0 0 0  0.0000
1708089348.5240 0 0 0 0 0 0 0 0  0.0000
1708089348.5319 0 0 0 0 0 0 0 0  0.0000
1708089348.5400 0 0 0 0 0 0 0 0  0.0000
1708089348.5481 0 0 0 0 0 0 0 0  0.0000
1708089348.5559 0 0 0 0 0 0 0 0  0.0000
1708089348.5640 0 0 0 0 0 0 0 0  0.0000
1708089348.5712 0 0 0 0 0 0 0 0  0.0000
1708089348.5796 0 0 0 0 0 0 0 0  0.0000
1708089348.5882 0 0 0 0 0 0 0 0  0.0000
1708089348.5957 0 0 0 0 0 0 0 0  0.0000
1708089348.6038 0 0 0 0 0 0 0 0  0.0000
1708089348.6115 0 0 0 0 0 0 0 0  0.0000
1708089348.6192 0 0 0 0 0 0 0 0  0.0000
1708089348.6277 0 0 0 0 0 0 0 0  0.0000
1708089348.6353 0 0 0 0 0 0 0 0  0.0000
1708089348.6439 0 0 0 0 0 0 0 0  0.0000
1708089348.6519 0 0 0 0 0 0 0 0  0.0000
1708089348.6595 0 0 0 0 0 0 0 0  0.0000
1708089348.6677 0 0 0 0 0 0 0 0  0.0000
1708089348.6757 0 0 0 0 0 0 0 0  0.0000
1708089348.6833 0 0 0 0 0 0 0 0  0.0000
1708089348.6920 0 0 0 0 0 0 0 0  0.0000
1708089348.7002 0 0 0 0 0 0 0 0  0.0000
1708089348.7079 0 0 0 0 0 0 0 0  0.0000
1708089348.7152 0 0 0 0 0 0 0 0  0.0000
1708089348.7238 0 0 0 0 0 0 0 0  0.0000
1708089348.7315 0 0 0 0 0 0 0 0  0.0000
1708089348.7393 0 0 0 0 0 0 0 0  0.0000
1708089348.7474 0 0 0 0 0 0 0 0  0.0000
1708089348.7552 0 0 0 0 0 0 0 0  0.0000
1708089348.7635 0 0 0 0 0 0 0 0  0.0000
1708089348.7719 0 0 0 0 0 0 0 0  0.0000
1708089348.7795 0 0 0 0 0 0 0 0  0.0000
1708089348.7873 0 0 0 0 0 0 0 0  0.0000
1708089348.7954 0 0 0 0 0 0 0 0  0.0000
1708089348.8036 0 0 0 0 0 0 0 0  0.0000
1708089348.8122 0 0 0 0 0 0 0 0  0.0000
1708089348.8195 0 0 0 0 0 0 0 0  0.0000
1708089348.8282 0 0 0 0 0 0 0 0  0.0000
1708089348.8358 0 0 0 0 0 0 0 0  0.0000
1708089348.8441 0 0 0 0 0 0 0 0  0.0000
1708089348.8522 0 0 0 0 0 0 0 0  0.0000
1708089348.8599 0 0 0 0 0 0 0 0  0.0000
1708089348.8672 0 0 0 0 0 0 0 0  0.0000
