% Edge sensor logfile normalized 'log_20240216_141546.651/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1708089347.7159 0 0 0 0 0 0 0 0  0.0000
1708089347.7234 0 0 0 0 0 0 0 0  0.0000
1708089347.7310 0 0 0 0 0 0 0 0  0.0000
1708089347.7391 0 0 0 0 0 0 0 0  0.0000
1708089347.7467 0 0 0 0 0 0 0 0  0.0000
1708089347.7555 0 0 0 0 0 0 0 0  0.0000
1708089347.7636 0 0 0 0 0 0 0 0  0.0000
1708089347.7709 0 0 0 0 0 0 0 0  0.0000
1708089347.7794 0 0 0 0 0 0 0 0  0.0000
1708089347.7874 0 0 0 0 0 0 0 0  0.0000
1708089347.7949 0 0 0 0 0 0 0 0  0.0000
1708089347.8034 0 0 0 0 0 0 0 0  0.0000
1708089347.8117 0 0 0 0 0 0 0 0  0.0000
1708089347.8197 0 0 0 0 0 0 0 0  0.0000
1708089347.8276 0 0 0 0 0 0 0 0  0.0000
1708089347.8347 0 0 0 0 0 0 0 0  0.0000
1708089347.8434 0 0 0 0 0 0 0 0  0.0000
1708089347.8511 0 0 0 0 0 0 0 0  0.0000
1708089347.8587 0 0 0 0 0 0 0 0  0.0000
1708089347.8667 0 0 0 0 0 0 0 0  0.0000
1708089347.8761 0 0 0 0 0 0 0 0  0.0000
1708089347.8838 0 0 0 0 0 0 0 0  0.0000
1708089347.8919 0 0 0 0 0 0 0 0  0.0000
1708089347.8999 0 0 0 0 0 0 0 0  0.0000
1708089347.9079 0 0 0 0 0 0 0 0  0.0000
1708089347.9160 0 0 0 0 0 0 0 0  0.0000
1708089347.9242 0 0 0 0 0 0 0 0  0.0000
1708089347.9320 0 0 0 0 0 0 0 0  0.0000
1708089347.9400 0 0 0 0 0 0 0 0  0.0000
1708089347.9473 0 0 0 0 0 0 0 0  0.0000
1708089347.9561 0 0 0 0 0 0 0 0  0.0000
1708089347.9642 0 0 0 0 0 0 0 0  0.0000
1708089347.9714 0 0 0 0 0 0 0 0  0.0000
1708089347.9802 0 0 0 0 0 0 0 0  0.0000
1708089347.9873 0 0 0 0 0 0 0 0  0.0000
