% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1707909937.7580 0 0 0 0
1707909937.7652 0 0 0 0
1707909937.7729 0 0 0 0
1707909937.7810 2 2 2 2
1707909937.7891 7 8 5 6
1707909937.7969 12 15 5 7
1707909937.8050 18 21 6 6
1707909937.8135 25 30 7 9
1707909937.8218 34 39 9 9
1707909937.8299 45 50 11 11
1707909937.8369 55 61 10 11
1707909937.8457 66 74 11 13
1707909937.8538 81 89 15 15
1707909937.8611 99 107 18 18
1707909937.8690 117 124 18 17
1707909937.8771 135 142 18 18
1707909937.8852 154 163 19 21
1707909937.8930 177 185 23 22
1707909937.9013 201 207 24 22
1707909937.9096 223 229 22 22
1707909937.9176 246 252 23 23
1707909937.9257 270 275 24 23
1707909937.9338 295 299 25 24
1707909937.9418 320 323 25 24
1707909937.9497 344 347 24 24
1707909937.9573 368 371 24 24
1707909937.9657 392 394 24 23
1707909937.9733 417 418 25 24
1707909937.9819 442 441 25 23
1707909937.9903 466 465 24 24
1707909937.9979 490 489 24 24
1707909938.0055 513 511 23 22
1707909938.0138 536 534 23 23
1707909938.0213 560 557 24 23
1707909938.0300 583 580 23 23
1707909938.0374 605 602 22 22
1707909938.0460 629 625 24 23
1707909938.0537 652 648 23 23
1707909938.0620 675 671 23 23
1707909938.0696 698 693 23 22
1707909938.0782 721 716 23 23
1707909938.0856 743 738 22 22
1707909938.0942 767 761 24 23
1707909938.1018 791 785 24 24
1707909938.1100 815 810 24 25
1707909938.1180 839 834 24 24
1707909938.1260 866 859 27 25
1707909938.1342 892 885 26 26
1707909938.1418 915 908 23 23
1707909938.1495 938 932 23 24
1707909938.1576 963 956 25 24
1707909938.1655 987 980 24 24
1707909938.1736 1010 1004 23 24
1707909938.1817 1033 1026 23 22
1707909938.1893 1056 1049 23 23
1707909938.1981 1079 1073 23 24
1707909938.2062 1102 1098 23 25
1707909938.2141 1127 1123 25 25
1707909938.2212 1150 1146 23 23
1707909938.2294 1172 1168 22 22
1707909938.2381 1194 1190 22 22
1707909938.2457 1217 1214 23 24
1707909938.2540 1240 1238 23 24
1707909938.2614 1262 1260 22 22
1707909938.2692 1284 1281 22 21
1707909938.2773 1304 1302 20 21
1707909938.2861 1326 1324 22 22
1707909938.2938 1347 1348 21 24
1707909938.3018 1364 1367 17 19
1707909938.3098 1378 1379 14 12
1707909938.3177 1392 1393 14 14
1707909938.3257 1411 1411 19 18
1707909938.3333 1434 1432 23 21
1707909938.3420 1458 1455 24 23
1707909938.3504 1477 1476 19 21
1707909938.3580 1491 1490 14 14
1707909938.3658 1504 1504 13 14
1707909938.3738 1522 1521 18 17
1707909938.3813 1545 1543 23 22
1707909938.3900 1570 1567 25 24
1707909938.3973 1588 1586 18 19
1707909938.4059 1603 1601 15 15
1707909938.4141 1620 1617 17 16
1707909938.4222 1641 1639 21 22
1707909938.4298 1665 1666 24 27
1707909938.4373 1689 1689 24 23
1707909938.4458 1707 1707 18 18
1707909938.4534 1722 1722 15 15
1707909938.4623 1738 1738 16 16
1707909938.4693 1758 1759 20 21
1707909938.4779 1781 1783 23 24
1707909938.4857 1803 1805 22 22
1707909938.4938 1822 1822 19 17
1707909938.5013 1839 1838 17 16
1707909938.5100 1860 1857 21 19
1707909938.5172 1886 1882 26 25
1707909938.5258 1913 1910 27 28
1707909938.5337 1936 1934 23 24
1707909938.5418 1956 1951 20 17
1707909938.5493 1972 1966 16 15
1707909938.5579 1992 1983 20 17
1707909938.5652 2018 2007 26 24
1707909938.5739 2044 2035 26 28
1707909938.5818 2067 2059 23 24
1707909938.5899 2085 2077 18 18
1707909938.5974 2102 2095 17 18
1707909938.6060 2124 2117 22 22
1707909938.6133 2150 2142 26 25
1707909938.6213 2176 2167 26 25
1707909938.6299 2196 2188 20 21
1707909938.6379 2215 2205 19 17
1707909938.6455 2236 2223 21 18
1707909938.6540 2260 2247 24 24
1707909938.6614 2286 2272 26 25
1707909938.6694 2310 2299 24 27
1707909938.6780 2331 2320 21 21
1707909938.6861 2350 2339 19 19
1707909938.6937 2371 2360 21 21
1707909938.7013 2395 2383 24 23
1707909938.7098 2419 2407 24 24
1707909938.7177 2440 2430 21 23
1707909938.7252 2460 2451 20 21
1707909938.7333 2480 2473 20 22
1707909938.7420 2503 2495 23 22
1707909938.7495 2528 2520 25 25
1707909938.7579 2553 2547 25 27
1707909938.7659 2578 2571 25 24
1707909938.7736 2598 2591 20 20
1707909938.7816 2616 2608 18 17
1707909938.7903 2637 2624 21 16
1707909938.7978 2660 2642 23 18
1707909938.8052 2685 2658 25 16
1707909938.8142 2708 2672 23 14
1707909938.8217 2726 2685 18 13
1707909938.8298 2743 2700 17 15
1707909938.8374 2763 2716 20 16
1707909938.8454 2784 2733 21 17
1707909938.8535 2805 2750 21 17
1707909938.8614 2823 2765 18 15
1707909938.8700 2839 2778 16 13
1707909938.8780 2857 2793 18 15
1707909938.8856 2878 2809 21 16
1707909938.8936 2900 2829 22 20
1707909938.9017 2920 2850 20 21
1707909938.9096 2938 2867 18 17
1707909938.9174 2957 2882 19 15
1707909938.9255 2979 2901 22 19
1707909938.9341 3002 2925 23 24
1707909938.9420 3027 2951 25 26
1707909938.9501 3049 2977 22 26
1707909938.9576 3067 3001 18 24
1707909938.9656 3088 3024 21 23
1707909938.9736 3113 3051 25 27
1707909938.9816 3140 3082 27 31
1707909938.9902 3166 3112 26 30
1707909938.9982 3189 3137 23 25
1707909939.0057 3206 3159 17 22
1707909939.0137 3224 3179 18 20
1707909939.0218 3244 3201 20 22
1707909939.0297 3266 3223 22 22
1707909939.0372 3289 3249 23 26
1707909939.0454 3312 3274 23 25
1707909939.0540 3333 3296 21 22
1707909939.0619 3353 3317 20 21
1707909939.0703 3374 3336 21 19
1707909939.0779 3398 3355 24 19
1707909939.0855 3423 3379 25 24
1707909939.0935 3446 3405 23 26
1707909939.1023 3466 3428 20 23
1707909939.1098 3485 3447 19 19
1707909939.1175 3506 3466 21 19
1707909939.1260 3530 3487 24 21
1707909939.1336 3555 3511 25 24
1707909939.1417 3581 3536 26 25
1707909939.1492 3603 3560 22 24
1707909939.1579 3621 3585 18 25
1707909939.1655 3641 3609 20 24
1707909939.1741 3663 3632 22 23
1707909939.1818 3687 3657 24 25
1707909939.1899 3710 3683 23 26
1707909939.1974 3732 3708 22 25
1707909939.2053 3755 3731 23 23
1707909939.2137 3776 3755 21 24
1707909939.2213 3796 3778 20 23
1707909939.2300 3817 3800 21 22
1707909939.2380 3839 3823 22 23
1707909939.2456 3861 3847 22 24
1707909939.2535 3883 3872 22 25
1707909939.2619 3904 3895 21 23
1707909939.2694 3923 3914 19 19
1707909939.2780 3940 3932 17 18
1707909939.2861 3961 3948 21 16
1707909939.2936 3984 3962 23 14
1707909939.3016 4006 3972 22 10
1707909939.3096 4025 3982 19 10
1707909939.3175 4040 3991 15 9
1707909939.3261 4057 3999 17 8
1707909939.3342 4075 4012 18 13
1707909939.3421 4091 4031 16 19
1707909939.3498 4105 4050 14 19
1707909939.3578 4119 4066 14 16
1707909939.3658 4133 4078 14 12
1707909939.3735 4150 4088 17 10
1707909939.3815 4169 4102 19 14
1707909939.3894 4185 4116 16 14
1707909939.3980 4197 4129 12 13
1707909939.4061 4208 4136 11 7
1707909939.4135 4222 4141 14 5
1707909939.4213 4239 4146 17 5
