% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1708088467.1843 0 0 0 0
1708088467.1919 0 0 0 0
1708088467.1999 0 4294967295 0 -1
1708088467.2081 0 4294967295 0 0
1708088467.2162 0 0 0 1
1708088467.2240 0 0 0 0
1708088467.2322 0 0 0 0
1708088467.2396 0 0 0 0
1708088467.2484 0 0 0 0
1708088467.2556 0 0 0 0
1708088467.2636 0 0 0 0
1708088467.2715 0 0 0 0
1708088467.2801 0 0 0 0
1708088467.2880 0 0 0 0
1708088467.2962 0 0 0 0
1708088467.3037 0 0 0 0
1708088467.3117 0 0 0 0
1708088467.3199 0 0 0 0
1708088467.3277 0 0 0 0
1708088467.3362 1 1 1 1
1708088467.3444 5 5 4 4
1708088467.3517 12 10 7 5
1708088467.3601 15 13 3 3
1708088467.3680 18 16 3 3
1708088467.3763 23 21 5 5
1708088467.3844 29 27 6 6
1708088467.3923 34 33 5 6
1708088467.4004 41 39 7 6
1708088467.4084 48 47 7 8
1708088467.4162 57 56 9 9
1708088467.4234 65 64 8 8
1708088467.4315 74 74 9 10
1708088467.4404 83 84 9 10
1708088467.4475 93 95 10 11
1708088467.4555 104 105 11 10
1708088467.4635 114 115 10 10
1708088467.4716 125 127 11 12
1708088467.4797 138 139 13 12
1708088467.4875 151 151 13 12
1708088467.4957 163 164 12 13
1708088467.5038 176 177 13 13
1708088467.5118 190 189 14 12
1708088467.5198 203 200 13 11
1708088467.5279 214 212 11 12
1708088467.5357 226 226 12 14
1708088467.5439 239 239 13 13
1708088467.5520 252 249 13 10
1708088467.5600 264 261 12 12
1708088467.5681 276 273 12 12
1708088467.5762 288 286 12 13
1708088467.5839 301 297 13 11
1708088467.5922 312 308 11 11
1708088467.5995 324 320 12 12
1708088467.6083 336 333 12 13
1708088467.6164 348 344 12 11
1708088467.6245 359 355 11 11
1708088467.6322 370 367 11 12
1708088467.6405 380 379 10 12
1708088467.6477 392 391 12 12
1708088467.6554 404 402 12 11
1708088467.6636 411 413 7 11
1708088467.6716 419 424 8 11
1708088467.6804 429 436 10 12
1708088467.6885 441 447 12 11
1708088467.6959 456 458 15 11
1708088467.7037 468 470 12 12
1708088467.7118 476 481 8 11
1708088467.7198 483 491 7 10
1708088467.7276 491 500 8 9
1708088467.7359 501 508 10 8
1708088467.7441 512 517 11 9
1708088467.7519 523 527 11 10
1708088467.7602 533 535 10 8
1708088467.7682 542 543 9 8
1708088467.7760 552 553 10 10
1708088467.7843 563 563 11 10
1708088467.7915 573 572 10 9
1708088467.8003 584 582 11 10
1708088467.8084 595 594 11 12
1708088467.8164 607 605 12 11
1708088467.8244 620 617 13 12
1708088467.8315 633 631 13 14
1708088467.8397 647 645 14 14
1708088467.8475 659 656 12 11
1708088467.8556 671 667 12 11
1708088467.8638 684 680 13 13
1708088467.8718 696 694 12 14
1708088467.8798 706 704 10 10
1708088467.8879 713 711 7 7
1708088467.8959 721 717 8 6
1708088467.9039 728 723 7 6
1708088467.9121 737 728 9 5
1708088467.9200 746 733 9 5
1708088467.9281 755 738 9 5
1708088467.9362 763 742 8 4
1708088467.9441 770 747 7 5
1708088467.9521 779 754 9 7
1708088467.9604 789 763 10 9
1708088467.9682 800 772 11 9
1708088467.9762 811 784 11 12
1708088467.9843 823 797 12 13
1708088467.9922 835 811 12 14
1708088468.0003 847 825 12 14
1708088468.0075 857 839 10 14
1708088468.0162 867 854 10 15
1708088468.0243 878 869 11 15
1708088468.0324 890 883 12 14
1708088468.0403 903 898 13 15
1708088468.0483 914 914 11 16
1708088468.0555 923 930 9 16
1708088468.0643 933 945 10 15
1708088468.0724 943 958 10 13
1708088468.0794 956 973 13 15
1708088468.0882 968 988 12 15
1708088468.0957 979 1000 11 12
1708088468.1038 990 1014 11 14
1708088468.1116 1001 1026 11 12
1708088468.1197 1012 1036 11 10
1708088468.1277 1023 1046 11 10
1708088468.1354 1037 1055 14 9
1708088468.1439 1051 1067 14 12
1708088468.1520 1066 1079 15 12
1708088468.1597 1080 1091 14 12
1708088468.1678 1093 1101 13 10
1708088468.1759 1106 1110 13 9
1708088468.1837 1119 1119 13 9
1708088468.1920 1133 1130 14 11
1708088468.2001 1147 1141 14 11
1708088468.2078 1160 1153 13 12
1708088468.2159 1173 1165 13 12
1708088468.2239 1185 1177 12 12
1708088468.2319 1198 1189 13 12
1708088468.2401 1210 1202 12 13
1708088468.2482 1222 1215 12 13
1708088468.2562 1235 1228 13 13
1708088468.2642 1247 1241 12 13
1708088468.2724 1258 1253 11 12
1708088468.2803 1270 1265 12 12
1708088468.2884 1281 1277 11 12
1708088468.2956 1292 1288 11 11
1708088468.3045 1304 1302 12 14
1708088468.3115 1316 1315 12 13
1708088468.3198 1327 1326 11 11
1708088468.3275 1338 1338 11 12
1708088468.3356 1350 1350 12 12
1708088468.3439 1362 1361 12 11
1708088468.3516 1373 1372 11 11
1708088468.3597 1385 1385 12 13
1708088468.3680 1397 1397 12 12
1708088468.3757 1408 1408 11 11
1708088468.3839 1419 1420 11 12
1708088468.3921 1426 1433 7 13
1708088468.3999 1434 1445 8 12
1708088468.4080 1443 1456 9 11
1708088468.4162 1450 1467 7 11
1708088468.4240 1457 1479 7 12
1708088468.4320 1464 1492 7 13
1708088468.4403 1473 1504 9 12
1708088468.4481 1484 1515 11 11
1708088468.4563 1496 1526 12 11
1708088468.4643 1507 1537 11 11
1708088468.4720 1517 1548 10 11
1708088468.4800 1529 1558 12 10
1708088468.4880 1541 1569 12 11
1708088468.4959 1552 1579 11 10
1708088468.5042 1561 1589 9 10
1708088468.5122 1568 1599 7 10
1708088468.5199 1575 1605 7 6
1708088468.5279 1583 1610 8 5
1708088468.5360 1589 1612 6 2
1708088468.5441 1595 1616 6 4
1708088468.5521 1601 1620 6 4
1708088468.5602 1608 1628 7 8
1708088468.5679 1616 1634 8 6
1708088468.5759 1627 1641 11 7
1708088468.5840 1642 1650 15 9
1708088468.5922 1664 1665 22 15
1708088468.6002 1685 1681 21 16
1708088468.6082 1704 1695 19 14
1708088468.6159 1720 1708 16 13
1708088468.6240 1734 1720 14 12
1708088468.6320 1749 1734 15 14
1708088468.6401 1765 1749 16 15
1708088468.6482 1778 1759 13 10
1708088468.6562 1785 1764 7 5
