% Edge sensor logfile normalized 'log_20240216_140106.697/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1708088467.1881 0 0 0 0 0 0 0 0  0.0000
1708088467.1955 394 599 626 674 701 585 444 298  0.0008
1708088467.2037 430 635 673 730 757 638 500 333  0.0344
1708088467.2115 396 608 640 698 719 601 469 307  0.0183
1708088467.2195 415 621 646 703 725 618 479 314  0.0221
1708088467.2277 412 623 655 707 731 604 457 297  0.0236
1708088467.2355 391 599 619 670 699 590 465 313  0.0000
1708088467.2440 423 635 662 718 736 624 485 324  0.0282
1708088467.2520 415 616 652 710 727 618 487 320  0.0243
1708088467.2600 409 619 658 714 742 624 484 331  0.0275
1708088467.2680 408 618 645 696 721 618 484 321  0.0179
1708088467.2754 408 615 653 709 729 613 474 313  0.0242
1708088467.2839 413 621 648 703 725 615 479 313  0.0220
1708088467.2917 389 600 630 687 710 601 462 298  0.0090
1708088467.2991 415 627 657 710 736 624 484 323  0.0259
1708088467.3072 395 613 657 707 733 617 474 311  0.0244
1708088467.3153 402 619 652 707 736 622 487 327  0.0247
1708088467.3238 422 640 667 720 740 611 474 308  0.0289
1708088467.3310 395 610 646 707 727 615 469 306  0.0232
1708088467.3398 403 621 650 687 725 618 474 317  0.0153
1708088467.3482 402 623 633 687 714 588 449 308  0.0108
1708088467.3562 389 605 643 700 716 599 469 324  0.0195
1708088467.3635 402 621 640 694 695 551 455 320  0.0000
1708088467.3717 394 611 631 689 665 540 434 313  0.0000
1708088467.3796 388 599 628 672 650 521 449 356  0.0000
1708088467.3877 377 579 589 650 597 482 439 340  0.0000
1708088467.3959 391 573 576 629 582 480 442 373  0.0000
1708088467.4037 392 567 560 580 571 482 467 353  0.0000
1708088467.4118 374 498 506 547 601 586 515 356  0.0000
1708088467.4200 401 523 518 547 663 609 559 382  0.0000
1708088467.4278 391 509 500 587 725 693 559 353  0.0165
1708088467.4358 395 527 550 647 787 730 570 349  0.0310
1708088467.4441 395 547 589 709 819 709 529 314  0.0364
1708088467.4519 394 544 636 761 843 709 510 278  0.0434
1708088467.4599 410 592 677 794 874 710 492 258  0.0488
1708088467.4683 406 613 689 781 836 675 449 238  0.0467
1708088467.4760 424 661 734 790 840 677 480 310  0.0570
1708088467.4841 424 648 706 736 733 592 479 306  0.0401
1708088467.4924 419 619 665 669 663 556 509 340  0.0000
1708088467.5001 410 603 601 583 637 574 504 314  0.0000
1708088467.5084 394 560 535 567 652 581 464 295  0.0000
1708088467.5165 398 567 570 614 671 572 449 308  0.0000
1708088467.5242 399 568 608 630 612 501 460 350  0.0000
1708088467.5323 409 599 631 660 637 572 580 442  0.0000
1708088467.5395 415 602 645 676 712 702 659 461  0.0237
1708088467.5483 416 603 640 727 832 799 712 481  0.0576
1708088467.5556 426 638 707 834 936 870 749 497  0.0736
1708088467.5636 413 618 741 885 956 859 724 478  0.0760
1708088467.5725 430 643 800 945 1000 886 754 482  0.0829
1708088467.5795 423 640 827 974 1000 891 767 498  0.0845
1708088467.5876 410 605 771 950 986 867 774 481  0.0802
1708088467.5955 440 651 836 1000 1000 957 762 451  0.0846
1708088467.6038 430 634 822 1000 1000 898 662 438  0.0769
1708088467.6119 434 642 895 1000 1000 803 662 436  0.0772
1708088467.6197 419 632 896 963 900 762 639 436  0.0728
1708088467.6278 408 629 827 849 881 760 641 428  0.0711
1708088467.6359 416 605 695 810 866 758 632 428  0.0586
1708088467.6440 398 568 652 772 825 712 595 397  0.0463
1708088467.6521 409 599 677 798 859 734 626 426  0.0536
1708088467.6602 403 589 667 785 842 734 616 413  0.0516
1708088467.6680 408 583 662 781 843 730 617 428  0.0505
1708088467.6760 415 597 668 776 853 735 614 396  0.0513
1708088467.6841 371 554 621 738 798 705 582 405  0.0406
1708088467.6922 380 562 623 732 804 693 570 392  0.0382
1708088467.7003 381 547 613 720 778 663 557 379  0.0320
1708088467.7084 350 511 577 701 772 679 564 383  0.0306
1708088467.7162 375 528 596 709 783 675 554 370  0.0317
1708088467.7242 350 498 564 683 746 643 539 369  0.0202
1708088467.7322 345 498 559 678 733 606 534 383  0.0147
1708088467.7404 307 453 515 616 671 567 489 331  0.0000
1708088467.7475 304 444 505 605 650 542 465 311  0.0000
1708088467.7557 298 426 489 589 642 540 464 298  0.0000
1708088467.7635 277 389 457 550 593 485 439 316  0.0000
1708088467.7716 294 420 479 589 625 505 455 285  0.0000
1708088467.7799 276 384 457 556 595 510 434 270  0.0000
1708088467.7876 283 397 464 550 610 524 454 300  0.0000
1708088467.7959 295 405 471 550 592 526 427 262  0.0000
1708088467.8040 267 394 447 532 593 512 439 291  0.0000
1708088467.8117 266 415 457 529 595 498 432 275  0.0000
1708088467.8197 249 369 415 485 560 478 405 268  0.0000
1708088467.8281 210 354 415 501 563 471 420 277  0.0000
1708088467.8359 141 269 349 452 516 429 383 251  0.0000
1708088467.8441 0 89 219 367 453 409 365 242  0.0000
1708088467.8523 0 0 28 225 372 354 330 212  0.0000
1708088467.8600 0 0 0 0 186 250 278 192  0.0000
1708088467.8684 0 0 0 0 0 124 198 143  0.0000
1708088467.8765 0 0 0 0 0 0 85 86  0.0000
1708088467.8842 0 0 0 0 0 0 10 60  0.0000
1708088467.8915 0 0 0 0 0 0 0 20  0.0000
1708088467.8995 0 0 0 0 0 0 0 0  0.0000
1708088467.9083 0 0 0 0 0 0 0 0  0.0000
1708088467.9156 0 0 0 0 0 0 0 0  0.0000
1708088467.9237 0 0 0 0 0 0 0 0  0.0000
1708088467.9315 0 0 0 0 0 0 0 0  0.0000
1708088467.9397 0 0 0 0 0 0 0 0  0.0000
1708088467.9478 0 0 0 0 0 0 0 0  0.0000
1708088467.9555 0 0 0 0 0 0 0 0  0.0000
1708088467.9638 0 0 0 0 0 0 0 0  0.0000
1708088467.9718 0 0 0 0 0 0 0 0  0.0000
1708088467.9796 0 0 0 0 0 0 0 0  0.0000
1708088467.9876 0 0 0 0 0 0 0 0  0.0000
1708088467.9959 0 0 0 0 0 0 0 0  0.0000
1708088468.0039 0 0 0 0 0 0 0 0  0.0000
1708088468.0119 0 0 0 0 0 0 0 0  0.0000
1708088468.0199 0 0 0 0 0 0 0 0  0.0000
1708088468.0277 0 0 0 0 0 0 0 0  0.0000
1708088468.0357 0 0 0 0 0 0 0 0  0.0000
1708088468.0439 0 0 0 0 0 0 0 0  0.0000
