% Edge sensor logfile normalized 'log_20240216_140106.697/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1708088468.0519 0 0 0 0 0 0 0 0  0.0000
1708088468.0599 0 0 0 0 0 0 0 0  0.0000
1708088468.0680 0 0 0 0 0 0 0 0  0.0000
1708088468.0758 0 0 0 0 0 0 0 0  0.0000
1708088468.0838 0 0 0 0 0 0 0 0  0.0000
1708088468.0922 0 0 0 0 0 0 0 0  0.0000
1708088468.1001 0 0 0 0 0 0 0 0  0.0000
1708088468.1083 0 0 0 0 0 0 0 0  0.0000
1708088468.1163 0 0 0 0 0 0 0 0  0.0000
1708088468.1241 0 0 0 0 0 0 0 0  0.0000
1708088468.1321 0 0 0 0 0 0 0 0  0.0000
1708088468.1395 0 0 0 0 0 0 0 0  0.0000
1708088468.1483 0 0 0 0 0 0 0 0  0.0000
1708088468.1564 0 0 0 0 0 0 0 0  0.0000
1708088468.1645 0 0 0 0 0 0 0 0  0.0000
1708088468.1722 0 0 0 0 0 0 0 0  0.0000
1708088468.1802 0 0 0 0 0 0 0 0  0.0000
1708088468.1885 0 0 0 0 0 0 0 0  0.0000
1708088468.1964 0 0 0 0 0 0 0 0  0.0000
1708088468.2045 0 0 0 0 0 0 0 0  0.0000
1708088468.2115 0 0 0 0 0 0 0 0  0.0000
1708088468.2203 0 0 0 0 0 0 0 0  0.0000
1708088468.2286 0 0 0 0 0 0 0 0  0.0000
1708088468.2356 0 0 0 0 0 0 0 0  0.0000
1708088468.2435 0 0 0 0 0 0 0 0  0.0000
1708088468.2516 0 0 0 0 0 0 0 0  0.0000
1708088468.2598 0 0 0 0 0 0 0 0  0.0000
1708088468.2676 0 0 0 0 0 0 0 0  0.0000
1708088468.2759 0 0 0 0 0 0 0 0  0.0000
1708088468.2840 0 0 0 0 0 0 0 0  0.0000
1708088468.2920 0 0 0 0 0 0 0 0  0.0000
1708088468.3000 0 0 0 0 0 0 0 0  0.0000
1708088468.3081 0 0 0 0 0 0 0 0  0.0000
1708088468.3159 0 0 0 0 0 0 0 0  0.0000
1708088468.3241 0 0 0 0 0 0 0 0  0.0000
1708088468.3322 0 0 0 0 0 0 0 0  0.0000
1708088468.3402 0 0 0 0 0 0 0 0  0.0000
1708088468.3483 0 0 0 0 0 0 0 0  0.0000
1708088468.3564 0 0 0 0 0 0 0 0  0.0000
1708088468.3643 0 0 0 0 0 0 0 0  0.0000
1708088468.3724 0 0 0 0 0 0 0 0  0.0000
1708088468.3795 0 0 0 0 0 0 0 0  0.0000
1708088468.3883 0 0 0 0 0 0 0 0  0.0000
1708088468.3965 0 0 0 0 0 0 0 0  0.0000
1708088468.4036 0 0 0 0 0 0 0 0  0.0000
1708088468.4115 0 0 0 0 0 0 0 0  0.0000
1708088468.4196 0 0 0 0 0 0 0 0  0.0000
1708088468.4277 0 0 0 0 0 0 0 0  0.0000
1708088468.4364 0 0 0 0 0 0 0 0  0.0000
1708088468.4436 0 0 0 0 0 0 0 0  0.0000
1708088468.4517 0 0 0 0 0 0 0 0  0.0000
1708088468.4596 0 0 0 0 0 0 0 0  0.0000
1708088468.4676 0 0 0 0 0 0 0 0  0.0000
1708088468.4757 0 0 0 0 0 0 0 0  0.0000
1708088468.4844 0 0 0 0 0 0 0 0  0.0000
1708088468.4915 0 0 0 0 0 0 0 0  0.0000
1708088468.4998 0 0 0 0 0 0 0 0  0.0000
1708088468.5075 0 0 0 0 0 0 0 0  0.0000
1708088468.5155 0 0 0 0 0 0 0 0  0.0000
1708088468.5235 0 0 0 0 0 0 0 0  0.0000
1708088468.5323 0 0 0 0 0 0 0 0  0.0000
1708088468.5395 0 0 0 0 0 0 0 0  0.0000
1708088468.5478 0 0 0 0 0 0 0 0  0.0000
1708088468.5555 0 0 0 0 0 0 0 0  0.0000
1708088468.5635 0 0 0 0 0 0 0 0  0.0000
1708088468.5716 0 0 0 0 0 0 0 0  0.0000
1708088468.5804 0 0 0 0 0 0 0 0  0.0000
1708088468.5887 0 0 0 0 0 0 0 0  0.0000
1708088468.5958 0 0 0 0 0 0 0 0  0.0000
1708088468.6035 0 0 0 0 0 0 0 0  0.0000
1708088468.6115 0 0 0 0 0 0 0 0  0.0000
1708088468.6196 0 0 0 0 0 0 0 0  0.0000
1708088468.6284 0 0 0 0 0 0 0 0  0.0000
1708088468.6356 0 0 0 0 0 0 0 0  0.0000
1708088468.6438 0 0 0 0 0 0 0 0  0.0000
1708088468.6515 0 0 0 0 0 0 0 0  0.0000
1708088468.6595 0 0 0 0 0 0 0 0  0.0000
1708088468.6676 0 0 0 0 0 0 0 0  0.0000
1708088468.6764 0 0 0 0 0 0 0 0  0.0000
1708088468.6837 0 0 0 0 0 0 0 0  0.0000
1708088468.6919 0 0 0 0 0 0 0 0  0.0000
1708088468.6996 0 0 0 0 0 0 0 0  0.0000
1708088468.7076 0 0 0 0 0 0 0 0  0.0000
1708088468.7157 0 0 0 0 0 0 0 0  0.0000
1708088468.7236 0 0 0 0 0 0 0 0  0.0000
1708088468.7317 0 0 0 0 0 0 0 0  0.0000
1708088468.7400 0 0 0 0 0 0 0 0  0.0000
1708088468.7477 0 0 0 0 0 0 0 0  0.0000
1708088468.7559 0 0 0 0 0 0 0 0  0.0000
1708088468.7639 0 0 0 0 0 0 0 0  0.0000
1708088468.7719 0 0 0 0 0 0 0 0  0.0000
1708088468.7799 0 0 0 0 0 0 0 0  0.0000
1708088468.7879 0 0 0 0 0 0 0 0  0.0000
1708088468.7958 0 0 0 0 0 0 0 0  0.0000
1708088468.8039 0 0 0 0 0 0 0 0  0.0000
1708088468.8119 0 0 0 0 0 0 0 0  0.0000
1708088468.8199 0 0 0 0 0 0 0 0  0.0000
1708088468.8279 0 0 0 0 0 0 0 0  0.0000
1708088468.8360 0 0 0 0 0 0 0 0  0.0000
1708088468.8439 0 0 0 0 0 0 0 0  0.0000
1708088468.8519 0 0 0 0 0 0 0 0  0.0000
1708088468.8603 0 0 0 0 0 0 0 0  0.0000
1708088468.8680 0 0 0 0 0 0 0 0  0.0000
1708088468.8760 0 0 0 0 0 0 0 0  0.0000
1708088468.8841 0 0 0 0 0 0 0 0  0.0000
1708088468.8920 0 0 0 0 0 0 0 0  0.0000
1708088468.9000 0 0 0 0 0 0 0 0  0.0000
1708088468.9082 0 0 0 0 0 0 0 0  0.0000
1708088468.9160 0 0 0 0 0 0 0 0  0.0000
1708088468.9240 0 0 0 0 0 0 0 0  0.0000
1708088468.9320 0 0 0 0 0 0 0 0  0.0000
1708088468.9399 0 0 0 0 0 0 0 0  0.0000
1708088468.9481 0 0 0 0 0 0 0 0  0.0000
1708088468.9562 0 0 0 0 0 0 0 0  0.0000
1708088468.9639 0 0 0 0 0 0 0 0  0.0000
1708088468.9719 0 0 0 0 0 0 0 0  0.0000
1708088468.9799 0 0 0 0 0 0 0 0  0.0000
1708088468.9876 0 0 0 0 0 0 0 0  0.0000
1708088468.9961 0 0 0 0 0 0 0 0  0.0000
1708088469.0042 0 0 0 0 0 0 0 0  0.0000
1708088469.0119 0 0 0 0 0 0 0 0  0.0000
1708088469.0199 0 0 0 0 0 0 0 0  0.0000
1708088469.0280 0 0 0 0 0 0 0 0  0.0000
1708088469.0358 0 0 0 0 0 0 0 0  0.0000
1708088469.0442 0 0 0 0 0 0 0 0  0.0000
1708088469.0522 0 0 0 0 0 0 0 0  0.0000
1708088469.0599 0 0 0 0 0 0 0 0  0.0000
1708088469.0679 0 0 0 0 0 0 0 0  0.0000
1708088469.0760 0 0 0 0 0 0 0 0  0.0000
1708088469.0839 0 0 0 0 0 0 0 0  0.0000
1708088469.0922 0 0 0 0 0 0 0 0  0.0000
1708088469.1003 0 0 0 0 0 0 0 0  0.0000
1708088469.1080 0 0 0 0 0 0 0 0  0.0000
1708088469.1160 0 0 0 0 0 0 0 0  0.0000
1708088469.1241 0 0 0 0 0 0 0 0  0.0000
1708088469.1320 0 0 0 0 0 0 0 0  0.0000
1708088469.1403 0 0 0 0 0 0 0 0  0.0000
1708088469.1483 0 0 0 0 0 0 0 0  0.0000
1708088469.1561 0 0 0 0 0 0 0 0  0.0000
1708088469.1641 0 0 0 0 0 0 0 0  0.0000
1708088469.1721 0 0 0 0 0 0 0 0  0.0000
1708088469.1801 0 0 0 0 0 0 0 0  0.0000
1708088469.1881 0 0 0 0 0 0 0 0  0.0000
1708088469.1963 0 0 0 0 0 0 0 0  0.0000
1708088469.2041 0 0 0 0 0 0 0 0  0.0000
1708088469.2121 0 0 0 0 0 0 0 0  0.0000
1708088469.2204 0 0 0 0 0 0 0 0  0.0000
1708088469.2281 0 0 0 0 0 0 0 0  0.0000
1708088469.2362 0 0 0 0 0 0 0 0  0.0000
1708088469.2445 0 0 0 0 0 0 0 0  0.0000
1708088469.2523 0 0 0 0 0 0 0 0  0.0000
1708088469.2596 0 0 0 0 0 0 0 0  0.0000
1708088469.2679 0 0 0 0 0 0 0 0  0.0000
1708088469.2756 0 0 0 0 0 0 0 0  0.0000
1708088469.2837 0 0 0 0 0 0 0 0  0.0000
1708088469.2918 0 0 0 0 0 0 0 0  0.0000
1708088469.2995 0 0 0 0 0 0 0 0  0.0000
1708088469.3078 0 0 0 0 0 0 0 0  0.0000
1708088469.3158 0 0 0 0 0 0 0 0  0.0000
1708088469.3236 0 0 0 0 0 0 0 0  0.0000
1708088469.3317 0 0 0 0 0 0 0 0  0.0000
1708088469.3400 0 0 0 0 0 0 0 0  0.0000
1708088469.3478 0 0 0 0 0 0 0 0  0.0000
1708088469.3561 0 0 0 0 0 0 0 0  0.0000
1708088469.3643 0 0 0 0 0 0 0 0  0.0000
1708088469.3721 0 0 0 0 0 0 0 0  0.0000
1708088469.3804 0 0 0 0 0 0 0 0  0.0000
1708088469.3875 0 0 0 0 0 0 0 0  0.0000
1708088469.3955 0 0 0 0 0 0 0 0  0.0000
1708088469.4038 0 0 0 0 0 0 0 0  0.0000
1708088469.4120 0 0 0 0 0 0 0 0  0.0000
1708088469.4197 0 0 0 0 0 0 0 0  0.0000
1708088469.4277 0 0 0 0 0 0 0 0  0.0000
1708088469.4358 0 0 0 0 0 0 0 0  0.0000
1708088469.4438 0 0 0 0 0 0 0 0  0.0000
1708088469.4519 0 0 0 0 0 0 0 0  0.0000
1708088469.4600 0 0 0 0 0 0 0 0  0.0000
1708088469.4677 0 0 0 0 0 0 0 0  0.0000
1708088469.4757 0 0 0 0 0 0 0 0  0.0000
1708088469.4838 0 0 0 0 0 0 0 0  0.0000
1708088469.4920 0 0 0 0 0 0 0 0  0.0000
1708088469.5000 0 0 0 0 0 0 0 0  0.0000
1708088469.5082 0 0 0 0 0 0 0 0  0.0000
1708088469.5159 0 0 0 0 0 0 0 0  0.0000
1708088469.5240 0 0 0 0 0 0 0 0  0.0000
1708088469.5321 0 0 0 0 0 0 0 0  0.0000
1708088469.5402 0 0 0 0 0 0 0 0  0.0000
1708088469.5483 0 0 0 0 0 0 0 0  0.0000
1708088469.5563 0 0 0 0 0 0 0 0  0.0000
1708088469.5641 0 0 0 0 0 0 0 0  0.0000
1708088469.5721 0 0 0 0 0 0 0 0  0.0000
1708088469.5795 0 0 0 0 0 0 0 0  0.0000
1708088469.5883 0 0 0 0 0 0 0 0  0.0000
1708088469.5965 0 0 0 0 0 0 0 0  0.0000
1708088469.6035 0 0 0 0 0 0 0 0  0.0000
1708088469.6123 0 0 0 0 0 0 0 0  0.0000
1708088469.6203 0 0 0 0 0 0 0 0  0.0000
1708088469.6275 0 0 0 0 0 0 0 0  0.0000
1708088469.6363 0 0 0 0 0 0 0 0  0.0000
1708088469.6435 0 0 0 0 0 0 0 0  0.0000
1708088469.6516 0 0 0 0 0 0 0 0  0.0000
1708088469.6604 0 0 0 0 0 0 0 0  0.0000
1708088469.6687 0 0 0 0 0 0 0 0  0.0000
1708088469.6756 0 0 0 0 0 0 0 0  0.0000
1708088469.6844 0 0 0 0 0 0 0 0  0.0000
1708088469.6916 0 0 0 0 0 0 0 0  0.0000
1708088469.6997 0 0 0 0 0 0 0 0  0.0000
1708088469.7085 0 0 0 0 0 0 0 0  0.0000
1708088469.7157 0 0 0 0 0 0 0 0  0.0000
1708088469.7239 0 0 0 0 0 0 0 0  0.0000
1708088469.7316 0 0 0 0 0 0 0 0  0.0000
1708088469.7399 0 0 0 0 0 0 0 0  0.0000
1708088469.7479 0 0 0 0 0 0 0 0  0.0000
1708088469.7559 0 0 0 0 0 0 0 0  0.0000
1708088469.7642 0 0 0 0 0 0 0 0  0.0000
1708088469.7722 0 0 0 0 0 0 0 0  0.0000
1708088469.7800 0 0 0 0 0 0 0 0  0.0000
1708088469.7881 0 0 0 0 0 0 0 0  0.0000
1708088469.7963 0 0 0 0 0 0 0 0  0.0000
1708088469.8042 0 0 0 0 0 0 0 0  0.0000
1708088469.8123 0 0 0 0 0 0 0 0  0.0000
1708088469.8204 0 0 0 0 0 0 0 0  0.0000
1708088469.8281 0 0 0 0 0 0 0 0  0.0000
1708088469.8362 0 0 0 0 0 0 0 0  0.0000
1708088469.8444 0 0 0 0 0 0 0 0  0.0000
1708088469.8523 0 0 0 0 0 0 0 0  0.0000
1708088469.8604 0 0 0 0 0 0 0 0  0.0000
1708088469.8675 0 0 0 0 0 0 0 0  0.0000
1708088469.8763 0 0 0 0 0 0 0 0  0.0000
