% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1708090262.9650 0 0 0 0
1708090262.9729 0 0 0 0
1708090262.9803 0 0 0 0
1708090262.9887 0 0 0 0
1708090262.9963 0 0 0 0
1708090263.0042 0 0 0 0
1708090263.0126 0 0 0 0
1708090263.0205 0 0 0 0
1708090263.0283 0 0 0 0
1708090263.0367 0 0 0 0
1708090263.0452 0 0 0 0
1708090263.0532 0 0 0 0
1708090263.0606 0 0 0 0
1708090263.0685 0 0 0 0
1708090263.0770 0 0 0 0
1708090263.0846 0 0 0 0
1708090263.0933 0 0 0 0
1708090263.1013 0 0 0 0
1708090263.1084 0 0 0 0
1708090263.1172 0 0 0 0
