% Edge sensor logfile normalized 'log_20240216_142915.360/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1708090155.9730 0 0 0 0 0 0 0 0  0.0000
1708090155.9801 0 0 0 0 0 0 0 0  0.0000
1708090155.9887 0 0 0 0 0 0 0 0  0.0000
1708090155.9967 0 0 0 0 0 0 0 0  0.0000
1708090156.0042 0 0 0 0 0 0 0 0  0.0000
1708090156.0127 0 0 0 0 0 0 0 0  0.0000
1708090156.0207 0 0 0 0 0 0 0 0  0.0000
1708090156.0279 0 0 0 0 0 0 0 0  0.0000
1708090156.0365 0 0 0 0 0 0 0 0  0.0000
1708090156.0445 0 0 0 0 0 0 0 0  0.0000
1708090156.0520 0 0 0 0 0 0 0 0  0.0000
1708090156.0606 0 0 0 0 0 0 0 0  0.0000
1708090156.0688 0 0 0 0 0 0 0 0  0.0000
1708090156.0767 0 0 0 0 0 0 0 0  0.0000
1708090156.0845 0 0 0 0 0 0 0 0  0.0000
1708090156.0925 0 0 0 0 0 0 0 0  0.0000
1708090156.1011 0 0 0 0 0 0 0 0  0.0000
1708090156.1081 0 0 0 0 0 0 0 0  0.0000
1708090156.1159 0 0 0 0 0 0 0 0  0.0000
1708090156.1241 0 0 0 0 0 0 0 0  0.0000
1708090156.1328 0 0 0 0 0 0 0 0  0.0000
1708090156.1405 0 0 0 0 0 0 0 0  0.0000
1708090156.1486 0 0 0 0 0 0 0 0  0.0000
1708090156.1567 0 0 0 0 0 0 0 0  0.0000
1708090156.1647 0 0 0 0 0 0 0 0  0.0000
1708090156.1728 0 0 0 0 0 0 0 0  0.0000
1708090156.1810 0 0 0 0 0 0 0 0  0.0000
1708090156.1888 0 0 0 0 0 0 0 0  0.0000
1708090156.1970 0 0 0 0 0 0 0 0  0.0000
1708090156.2042 0 0 0 0 0 0 0 0  0.0000
1708090156.2131 0 0 0 0 0 0 0 0  0.0000
1708090156.2202 0 0 0 0 0 0 0 0  0.0000
1708090156.2285 0 0 0 0 0 0 0 0  0.0000
1708090156.2362 0 0 0 0 0 0 0 0  0.0000
1708090156.2444 0 0 0 0 0 0 0 0  0.0000
1708090156.2528 0 0 0 0 0 0 0 0  0.0000
1708090156.2606 0 0 0 0 0 0 0 0  0.0000
1708090156.2687 0 0 0 0 0 0 0 0  0.0000
1708090156.2770 0 0 0 0 0 0 0 0  0.0000
1708090156.2848 0 0 0 0 0 0 0 0  0.0000
1708090156.2929 0 0 0 0 0 0 0 0  0.0000
1708090156.3002 0 0 0 0 0 0 0 0  0.0000
1708090156.3090 0 0 0 0 0 0 0 0  0.0000
1708090156.3171 0 0 0 0 0 0 0 0  0.0000
1708090156.3243 0 0 0 0 0 0 0 0  0.0000
1708090156.3332 0 0 0 0 0 0 0 0  0.0000
1708090156.3405 0 0 0 0 0 0 0 0  0.0000
1708090156.3487 0 0 0 0 0 0 0 0  0.0000
1708090156.3564 0 0 0 0 0 0 0 0  0.0000
1708090156.3645 0 0 0 0 0 0 0 0  0.0000
1708090156.3726 0 0 0 0 0 0 0 0  0.0000
1708090156.3806 0 0 0 0 0 0 0 0  0.0000
