% Edge logfile: log_20240216_142915.360/log_edge_ctrl.txt
% 1 	Time (sec)
% 2 	heading mode (edge control == 2)
% 3 	Edge 1=left, 0=right
% 4 	Edge offset (signed in m; should be less than about 0.01)
% 5 	Measured edge value (m; positive is left)
% 6 	control value (rad/sec; positive is CCV)
% 7 	limited
1708090156.1241 2 1 0.0000 0.0000 0.0000 0
1708090156.1328 2 1 0.0000 0.0000 0.0000 0
1708090156.1405 2 1 0.0000 0.0000 0.0000 0
1708090156.1486 2 1 0.0000 0.0000 0.0000 0
1708090156.1567 2 1 0.0000 0.0000 0.0000 0
1708090156.1647 2 1 0.0000 0.0000 0.0000 0
1708090156.1728 2 1 0.0000 0.0000 0.0000 0
1708090156.1810 2 1 0.0000 0.0000 0.0000 0
1708090156.1888 2 1 0.0000 0.0000 0.0000 0
1708090156.1970 2 1 0.0000 0.0000 0.0000 0
1708090156.2042 2 1 0.0000 0.0000 0.0000 0
1708090156.2131 2 1 0.0000 0.0000 0.0000 0
1708090156.2202 2 1 0.0000 0.0000 0.0000 0
1708090156.2285 2 1 0.0000 0.0000 0.0000 0
1708090156.2362 2 1 0.0000 0.0000 0.0000 0
1708090156.2444 2 1 0.0000 0.0000 0.0000 0
1708090156.2528 2 1 0.0000 0.0000 0.0000 0
1708090156.2606 2 1 0.0000 0.0000 0.0000 0
1708090156.2687 2 1 0.0000 0.0000 0.0000 0
1708090156.2770 2 1 0.0000 0.0000 0.0000 0
1708090156.2848 2 1 0.0000 0.0000 0.0000 0
1708090156.2929 2 1 0.0000 0.0000 0.0000 0
1708090156.3002 2 1 0.0000 0.0000 0.0000 0
1708090156.3090 2 1 0.0000 0.0000 0.0000 0
1708090156.3171 2 1 0.0000 0.0000 0.0000 0
1708090156.3243 2 1 0.0000 0.0000 0.0000 0
1708090156.3332 2 1 0.0000 0.0000 0.0000 0
1708090156.3405 2 1 0.0000 0.0000 0.0000 0
1708090156.3487 2 1 0.0000 0.0000 0.0000 0
1708090156.3564 2 1 0.0000 0.0000 0.0000 0
1708090156.3645 2 1 0.0000 0.0000 0.0000 0
1708090156.3726 2 1 0.0000 0.0000 0.0000 0
1708090156.3806 2 1 0.0000 0.0000 0.0000 0
1708090156.3890 2 1 0.0000 0.0000 0.0000 0
1708090156.3971 2 1 0.0000 0.0000 0.0000 0
1708090156.4048 2 1 0.0000 0.0000 0.0000 0
1708090156.4129 2 1 0.0000 0.0000 0.0000 0
1708090156.4210 2 1 0.0000 0.0000 0.0000 0
1708090156.4289 2 1 0.0000 0.0000 0.0000 0
1708090156.4362 2 1 0.0000 0.0000 0.0000 0
1708090156.4443 2 1 0.0000 0.0000 0.0000 0
1708090156.4531 2 1 0.0000 0.0000 0.0000 0
1708090156.4602 2 1 0.0000 0.0000 0.0000 0
1708090156.4685 2 1 0.0000 0.0000 0.0000 0
1708090156.4766 2 1 0.0000 0.0000 0.0000 0
1708090156.4847 2 1 0.0000 0.0000 0.0000 0
1708090156.4928 2 1 0.0000 0.0000 0.0000 0
1708090156.5005 2 1 0.0000 0.0000 0.0000 0
1708090156.5086 2 1 0.0000 0.0000 0.0000 0
1708090156.5167 2 1 0.0000 0.0000 0.0000 0
1708090156.5248 2 1 0.0000 0.0000 0.0000 0
1708090156.5329 2 1 0.0000 0.0000 0.0000 0
1708090156.5410 2 1 0.0000 0.0000 0.0000 0
1708090156.5488 2 1 0.0000 0.0000 0.0000 0
1708090156.5569 2 1 0.0000 0.0000 0.0000 0
1708090156.5652 2 1 0.0000 0.0000 0.0000 0
1708090156.5729 2 1 0.0000 0.0000 0.0000 0
1708090156.5812 2 1 0.0000 0.0000 0.0000 0
1708090156.5882 2 1 0.0000 0.0000 0.0000 0
1708090156.5970 2 1 0.0000 0.0000 0.0000 0
1708090156.6051 2 1 0.0000 0.0000 0.0000 0
1708090156.6124 2 1 0.0000 0.0000 0.0000 0
1708090156.6212 2 1 0.0000 0.0000 0.0000 0
1708090156.6284 2 1 0.0000 0.0000 0.0000 0
1708090156.6365 2 1 0.0000 0.0000 0.0000 0
1708090156.6444 2 1 0.0000 0.0000 0.0000 0
1708090156.6524 2 1 0.0000 0.0000 0.0000 0
1708090156.6607 2 1 0.0000 0.0000 0.0000 0
1708090156.6685 2 1 0.0000 0.0000 0.0000 0
1708090156.6768 2 1 0.0000 0.0000 0.0000 0
1708090156.6849 2 1 0.0000 0.0000 0.0000 0
1708090156.6927 2 1 0.0000 0.0000 0.0000 0
1708090156.7010 2 1 0.0000 0.0000 0.0000 0
1708090156.7091 2 1 0.0000 0.0000 0.0000 0
1708090156.7168 2 1 0.0000 0.0000 0.0000 0
1708090156.7251 2 1 0.0000 0.0000 0.0000 0
1708090156.7332 2 1 0.0000 0.0000 0.0000 0
1708090156.7410 2 1 0.0000 0.0000 0.0000 0
1708090156.7483 2 1 0.0000 0.0000 0.0000 0
1708090156.7564 2 1 0.0000 0.0000 0.0000 0
1708090156.7652 2 1 0.0000 0.0000 0.0000 0
1708090156.7723 2 1 0.0000 0.0000 0.0000 0
1708090156.7806 2 1 0.0000 0.0000 0.0000 0
1708090156.7884 2 1 0.0000 0.0000 0.0000 0
1708090156.7967 2 1 0.0000 0.0000 0.0000 0
1708090156.8048 2 1 0.0000 0.0000 0.0000 0
1708090156.8125 2 1 0.0000 0.0000 0.0000 0
1708090156.8206 2 1 0.0000 0.0000 0.0000 0
1708090156.8288 2 1 0.0000 0.0000 0.0000 0
1708090156.8372 2 1 0.0000 0.0000 0.0000 0
1708090156.8448 2 1 0.0000 0.0000 0.0000 0
1708090156.8524 2 1 0.0000 0.0000 0.0000 0
1708090156.8605 2 1 0.0000 0.0000 0.0000 0
1708090156.8683 2 1 0.0000 0.0000 0.0000 0
1708090156.8764 2 1 0.0000 0.0000 0.0000 0
1708090156.8848 2 1 0.0000 0.0000 0.0000 0
1708090156.8925 2 1 0.0000 0.0000 0.0000 0
1708090156.9012 2 1 0.0000 0.0000 0.0000 0
1708090156.9083 2 1 0.0000 0.0000 0.0000 0
1708090156.9170 2 1 0.0000 0.0000 0.0000 0
1708090156.9245 2 1 0.0000 0.0000 0.0000 0
1708090156.9326 2 1 0.0000 0.0000 0.0000 0
1708090156.9412 2 1 0.0000 0.0000 0.0000 0
1708090156.9487 2 1 0.0000 0.0000 0.0000 0
1708090156.9568 2 1 0.0000 0.0000 0.0000 0
1708090156.9648 2 1 0.0000 0.0000 0.0000 0
1708090156.9728 2 1 0.0000 0.0000 0.0000 0
1708090156.9812 2 1 0.0000 0.0000 0.0000 0
1708090156.9888 2 1 0.0000 0.0000 0.0000 0
1708090156.9964 2 1 0.0000 0.0000 0.0000 0
1708090157.0045 2 1 0.0000 0.0000 0.0000 0
1708090157.0132 2 1 0.0000 0.0000 0.0000 0
1708090157.0204 2 1 0.0000 0.0000 0.0000 0
1708090157.0289 2 1 0.0000 0.0000 0.0000 0
