% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1708090155.9699 0 0 0 0
1708090155.9783 0 0 0 0
1708090155.9858 4294967295 4294967295 -1 -1
1708090155.9933 4294967295 4294967295 0 0
1708090156.0008 4294967295 0 0 1
1708090156.0088 4294967295 0 0 0
1708090156.0173 4294967295 0 0 0
1708090156.0256 4294967295 0 0 0
1708090156.0336 4294967295 0 0 0
1708090156.0422 4294967295 0 0 0
1708090156.0497 4294967295 0 0 0
1708090156.0577 4294967295 0 0 0
1708090156.0664 4294967295 0 0 0
1708090156.0739 4294967295 0 0 0
1708090156.0815 4294967295 0 0 0
1708090156.0901 4294967295 0 0 0
1708090156.0978 4294967295 0 0 0
1708090156.1059 4294967295 0 0 0
1708090156.1143 4294967295 0 0 0
1708090156.1222 4294967295 0 0 0
1708090156.1292 4294967295 0 0 0
1708090156.1373 0 0 1 0
1708090156.1453 3 2 3 2
1708090156.1541 7 3 4 1
1708090156.1614 9 5 2 2
1708090156.1695 12 8 3 3
1708090156.1774 14 9 2 1
1708090156.1855 18 13 4 4
1708090156.1936 22 17 4 4
1708090156.2014 25 20 3 3
1708090156.2098 30 24 5 4
1708090156.2179 36 30 6 6
1708090156.2259 42 36 6 6
1708090156.2340 48 42 6 6
1708090156.2421 56 49 8 7
1708090156.2492 63 56 7 7
1708090156.2573 69 63 6 7
1708090156.2654 75 69 6 6
1708090156.2742 83 77 8 8
1708090156.2815 90 84 7 7
1708090156.2896 97 93 7 9
1708090156.2976 104 99 7 6
1708090156.3056 112 105 8 6
1708090156.3138 120 113 8 8
1708090156.3216 126 121 6 8
1708090156.3299 132 129 6 8
1708090156.3380 138 134 6 5
1708090156.3461 146 140 8 6
1708090156.3542 155 149 9 9
1708090156.3612 162 157 7 8
1708090156.3700 167 164 5 7
1708090156.3772 173 170 6 6
1708090156.3856 182 177 9 7
1708090156.3934 189 185 7 8
1708090156.4015 195 191 6 6
1708090156.4096 201 197 6 6
1708090156.4173 208 205 7 8
1708090156.4256 216 213 8 8
1708090156.4339 222 219 6 6
1708090156.4417 228 225 6 6
1708090156.4498 235 232 7 7
1708090156.4579 243 239 8 7
1708090156.4659 250 245 7 6
1708090156.4740 255 251 5 6
1708090156.4813 262 259 7 8
1708090156.4902 269 266 7 7
1708090156.4972 275 271 6 5
1708090156.5053 281 277 6 6
1708090156.5141 288 285 7 8
1708090156.5213 295 292 7 7
1708090156.5296 302 297 7 5
1708090156.5374 308 303 6 6
1708090156.5455 316 310 8 7
1708090156.5535 323 318 7 8
1708090156.5613 328 325 5 7
1708090156.5696 335 332 7 7
1708090156.5779 342 338 7 6
1708090156.5856 351 345 9 7
1708090156.5937 357 353 6 8
1708090156.6018 362 360 5 7
1708090156.6098 369 366 7 6
1708090156.6179 377 372 8 6
1708090156.6261 385 380 8 8
1708090156.6339 391 388 6 8
1708090156.6421 396 396 5 8
1708090156.6502 403 401 7 5
1708090156.6581 411 406 8 5
1708090156.6652 417 414 6 8
1708090156.6733 423 422 6 8
1708090156.6812 429 428 6 6
1708090156.6893 436 433 7 5
1708090156.6974 444 440 8 7
1708090156.7055 451 448 7 8
1708090156.7135 456 456 5 8
1708090156.7216 462 462 6 6
1708090156.7296 470 467 8 5
1708090156.7377 478 474 8 7
1708090156.7460 483 482 5 8
1708090156.7538 488 489 5 7
1708090156.7619 495 495 7 6
1708090156.7700 503 501 8 6
1708090156.7780 511 509 8 8
1708090156.7861 517 517 6 8
1708090156.7934 523 523 6 6
1708090156.8022 530 527 7 4
1708090156.8092 537 534 7 7
1708090156.8172 545 542 8 8
1708090156.8252 551 549 6 7
1708090156.8333 555 554 4 5
1708090156.8413 562 560 7 6
1708090156.8494 571 568 9 8
1708090156.8581 578 575 7 7
1708090156.8658 584 582 6 7
1708090156.8740 591 588 7 6
1708090156.8814 599 594 8 6
1708090156.8900 605 602 6 8
1708090156.8982 610 609 5 7
1708090156.9058 618 616 8 7
1708090156.9136 626 622 8 6
1708090156.9216 633 628 7 6
1708090156.9302 638 634 5 6
1708090156.9377 645 642 7 8
1708090156.9458 654 651 9 9
1708090156.9533 660 658 6 7
1708090156.9620 665 663 5 5
1708090156.9698 671 667 6 4
1708090156.9778 679 674 8 7
1708090156.9854 688 683 9 9
1708090156.9935 693 691 5 8
1708090157.0020 698 696 5 5
1708090157.0097 705 702 7 6
1708090157.0172 714 709 9 7
1708090157.0254 721 717 7 8
1708090157.0342 727 723 6 6
1708090157.0414 733 729 6 6
1708090157.0500 740 736 7 7
1708090157.0577 747 743 7 7
1708090157.0652 754 750 7 7
1708090157.0740 760 756 6 6
1708090157.0820 767 762 7 6
1708090157.0901 775 769 8 7
1708090157.0978 781 777 6 8
1708090157.1060 787 784 6 7
1708090157.1140 794 790 7 6
1708090157.1217 802 795 8 5
