% Edge sensor logfile normalized 'log_20240216_142908.199/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1708090148.9430 0 0 0 0 0 0 0 0  0.0000
1708090148.9506 0 0 0 0 0 0 0 0  0.0000
1708090148.9583 0 0 0 0 0 0 0 0  0.0000
1708090148.9665 0 0 0 0 0 0 0 0  0.0000
1708090148.9744 0 0 0 0 0 0 0 0  0.0000
1708090148.9823 0 0 0 0 0 0 0 0  0.0000
1708090148.9903 0 0 0 0 0 0 0 0  0.0000
1708090148.9986 0 0 0 0 0 0 0 0  0.0000
1708090149.0063 0 0 0 0 0 0 0 0  0.0000
1708090149.0143 0 0 0 0 0 0 0 0  0.0000
1708090149.0219 0 0 0 0 0 0 0 0  0.0000
1708090149.0297 0 0 0 0 0 0 0 0  0.0000
1708090149.0378 0 0 0 0 0 0 0 0  0.0000
1708090149.0466 0 0 0 0 0 0 0 0  0.0000
1708090149.0544 0 0 0 0 0 0 0 0  0.0000
1708090149.0625 0 0 0 0 0 0 0 0  0.0000
1708090149.0705 0 0 0 0 0 0 0 0  0.0000
1708090149.0783 0 0 0 0 0 0 0 0  0.0000
1708090149.0868 0 0 0 0 0 0 0 0  0.0000
1708090149.0950 0 0 0 0 0 0 0 0  0.0000
1708090149.1024 0 0 0 0 0 0 0 0  0.0000
1708090149.1103 0 0 0 0 0 0 0 0  0.0000
1708090149.1188 0 0 0 0 0 0 0 0  0.0000
1708090149.1261 0 0 0 0 0 0 0 0  0.0000
1708090149.1345 0 0 0 0 0 0 0 0  0.0000
1708090149.1431 0 0 0 0 0 0 0 0  0.0000
1708090149.1509 0 0 0 0 0 0 0 0  0.0000
1708090149.1589 0 0 0 0 0 0 0 0  0.0000
1708090149.1664 0 0 0 0 0 0 0 0  0.0000
1708090149.1745 0 0 0 0 0 0 0 0  0.0000
1708090149.1825 0 0 0 0 0 0 0 0  0.0000
1708090149.1910 0 0 0 0 0 0 0 0  0.0000
1708090149.1988 0 0 0 0 0 0 0 0  0.0000
1708090149.2068 0 0 0 0 0 0 0 0  0.0000
1708090149.2143 0 0 0 0 0 0 0 0  0.0000
1708090149.2221 0 0 0 0 0 0 0 0  0.0000
1708090149.2301 0 0 0 0 0 0 0 0  0.0000
1708090149.2387 0 0 0 0 0 0 0 0  0.0000
1708090149.2465 0 0 0 0 0 0 0 0  0.0000
1708090149.2545 0 0 0 0 0 0 0 0  0.0000
1708090149.2631 0 0 0 0 0 0 0 0  0.0000
1708090149.2709 0 0 0 0 0 0 0 0  0.0000
1708090149.2790 0 0 0 0 0 0 0 0  0.0000
1708090149.2865 0 0 0 0 0 0 0 0  0.0000
1708090149.2944 0 0 0 0 0 0 0 0  0.0000
1708090149.3024 0 0 0 0 0 0 0 0  0.0000
1708090149.3103 0 0 0 0 0 0 0 0  0.0000
1708090149.3189 0 0 0 0 0 0 0 0  0.0000
1708090149.3269 0 0 0 0 0 0 0 0  0.0000
1708090149.3345 0 0 0 0 0 0 0 0  0.0000
1708090149.3431 0 0 0 0 0 0 0 0  0.0000
1708090149.3504 0 0 0 0 0 0 0 0  0.0000
1708090149.3582 0 0 0 0 0 0 0 0  0.0000
1708090149.3668 0 0 0 0 0 0 0 0  0.0000
1708090149.3748 0 0 0 0 0 0 0 0  0.0000
1708090149.3823 0 0 0 0 0 0 0 0  0.0000
1708090149.3909 0 0 0 0 0 0 0 0  0.0000
