% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1708090148.9393 0 0 0 0
1708090148.9476 0 0 0 0
1708090148.9541 0 4294967295 0 -1
1708090148.9629 0 4294967295 0 0
1708090148.9707 0 4294967295 0 0
1708090148.9790 0 4294967295 0 0
1708090148.9868 0 4294967295 0 0
1708090148.9951 0 4294967295 0 0
1708090149.0021 0 4294967295 0 0
1708090149.0108 0 4294967295 0 0
1708090149.0185 0 4294967295 0 0
1708090149.0265 0 4294967295 0 0
1708090149.0343 0 4294967295 0 0
1708090149.0427 0 4294967295 0 0
1708090149.0502 0 4294967295 0 0
1708090149.0591 0 4294967295 0 0
1708090149.0669 0 4294967295 0 0
1708090149.0751 0 4294967295 0 0
1708090149.0829 0 4294967295 0 0
1708090149.0902 0 4294967295 0 0
1708090149.0985 0 0 0 1
1708090149.1069 2 2 2 2
1708090149.1143 3 3 1 1
1708090149.1222 6 5 3 2
1708090149.1311 8 7 2 2
1708090149.1385 10 10 2 3
1708090149.1469 14 13 4 3
1708090149.1544 17 17 3 4
1708090149.1629 21 20 4 3
1708090149.1710 26 25 5 5
1708090149.1790 31 30 5 5
1708090149.1865 36 36 5 6
1708090149.1948 42 42 6 6
1708090149.2023 48 49 6 7
1708090149.2109 54 55 6 6
1708090149.2182 61 61 7 6
1708090149.2266 68 68 7 7
1708090149.2342 74 75 6 7
1708090149.2422 82 82 8 7
1708090149.2511 89 89 7 7
1708090149.2586 96 97 7 8
1708090149.2670 104 104 8 7
1708090149.2745 111 111 7 7
1708090149.2831 118 117 7 6
1708090149.2911 125 124 7 7
1708090149.2989 133 131 8 7
1708090149.3065 141 138 8 7
1708090149.3149 147 145 6 7
1708090149.3224 153 152 6 7
1708090149.3310 160 159 7 7
1708090149.3390 167 166 7 7
1708090149.3469 176 172 9 6
1708090149.3548 182 179 6 7
1708090149.3628 188 187 6 8
1708090149.3703 195 194 7 7
1708090149.3789 202 201 7 7
1708090149.3868 209 207 7 6
1708090149.3947 216 214 7 7
1708090149.4026 223 222 7 8
1708090149.4107 230 228 7 6
1708090149.4181 236 234 6 6
1708090149.4267 242 241 6 7
1708090149.4351 248 249 6 8
1708090149.4427 256 256 8 7
1708090149.4508 263 261 7 5
1708090149.4589 268 267 5 6
1708090149.4665 275 274 7 7
1708090149.4751 282 282 7 8
1708090149.4831 289 288 7 6
1708090149.4910 296 293 7 5
1708090149.4989 303 300 7 7
1708090149.5069 310 308 7 8
1708090149.5143 317 315 7 7
1708090149.5228 323 321 6 6
1708090149.5308 329 327 6 6
1708090149.5387 336 334 7 7
1708090149.5465 344 342 8 8
1708090149.5545 350 349 6 7
1708090149.5621 356 355 6 6
1708090149.5708 362 361 6 6
1708090149.5792 370 369 8 8
1708090149.5868 378 377 8 8
1708090149.5946 384 385 6 8
1708090149.6027 389 390 5 5
1708090149.6103 395 395 6 5
1708090149.6188 403 402 8 7
1708090149.6262 411 410 8 8
1708090149.6347 418 418 7 8
1708090149.6423 424 424 6 6
1708090149.6506 430 429 6 5
1708090149.6582 438 436 8 7
1708090149.6668 445 445 7 9
1708090149.6742 451 452 6 7
1708090149.6828 458 458 7 6
1708090149.6903 465 464 7 6
1708090149.6985 472 471 7 7
1708090149.7071 480 478 8 7
1708090149.7149 486 485 6 7
1708090149.7228 493 492 7 7
1708090149.7303 499 497 6 5
1708090149.7388 506 504 7 7
1708090149.7470 512 511 6 7
1708090149.7544 519 519 7 8
1708090149.7622 526 525 7 6
1708090149.7702 531 531 5 6
1708090149.7788 538 537 7 6
1708090149.7864 546 545 8 8
1708090149.7948 553 553 7 8
1708090149.8023 559 558 6 5
1708090149.8102 565 564 6 6
1708090149.8182 572 571 7 7
1708090149.8269 579 579 7 8
1708090149.8345 585 585 6 6
1708090149.8425 592 591 7 6
1708090149.8508 599 599 7 8
1708090149.8584 606 607 7 8
1708090149.8665 613 612 7 5
1708090149.8741 620 617 7 5
1708090149.8828 627 625 7 8
1708090149.8908 633 634 6 9
1708090149.8990 639 640 6 6
1708090149.9066 646 646 7 6
1708090149.9147 654 652 8 6
1708090149.9222 660 660 6 8
1708090149.9311 666 668 6 8
1708090149.9385 672 675 6 7
1708090149.9464 680 680 8 5
1708090149.9551 688 686 8 6
1708090149.9621 695 693 7 7
1708090149.9709 701 701 6 8
1708090149.9785 706 708 5 7
1708090149.9870 713 714 7 6
1708090149.9950 721 720 8 6
1708090150.0026 729 727 8 7
1708090150.0107 735 735 6 8
1708090150.0183 741 742 6 7
1708090150.0269 748 748 7 6
1708090150.0343 756 753 8 5
1708090150.0429 763 760 7 7
1708090150.0508 768 768 5 8
1708090150.0589 774 776 6 8
1708090150.0665 782 782 8 6
1708090150.0746 790 788 8 6
1708090150.0826 796 794 6 6
1708090150.0902 800 802 4 8
