% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1708089358.7376 0 0 0 0
1708089358.7454 0 0 0 0
1708089358.7541 4294967295 4294967295 -1 -1
1708089358.7618 4294967294 4294967295 -1 0
1708089358.7695 4294967295 0 1 1
1708089358.7775 4294967295 0 0 0
1708089358.7861 4294967295 0 0 0
1708089358.7942 4294967295 0 0 0
1708089358.8021 4294967295 0 0 0
1708089358.8096 4294967295 0 0 0
1708089358.8181 4294967295 0 0 0
1708089358.8261 4294967295 0 0 0
1708089358.8335 4294967295 0 0 0
1708089358.8421 4294967295 0 0 0
1708089358.8502 4294967295 0 0 0
1708089358.8579 4294967295 0 0 0
1708089358.8655 4294967295 0 0 0
1708089358.8738 4294967295 0 0 0
1708089358.8818 4294967295 0 0 0
1708089358.8893 4294967295 0 0 0
1708089358.8975 0 0 1 0
1708089358.9060 1 3 1 3
1708089358.9133 3 7 2 4
1708089358.9223 6 9 3 2
1708089358.9300 7 10 1 1
1708089358.9373 10 13 3 3
1708089358.9455 14 16 4 3
1708089358.9540 17 19 3 3
1708089358.9613 20 23 3 4
1708089358.9693 25 27 5 4
1708089358.9783 30 31 5 4
1708089358.9859 35 37 5 6
1708089358.9943 41 43 6 6
1708089359.0020 47 49 6 6
1708089359.0096 54 55 7 6
1708089359.0181 60 61 6 6
1708089359.0257 67 68 7 7
1708089359.0343 75 75 8 7
1708089359.0416 81 82 6 7
1708089359.0503 89 88 8 6
1708089359.0579 96 94 7 6
1708089359.0653 104 101 8 7
1708089359.0740 111 109 7 8
1708089359.0816 117 116 6 7
1708089359.0897 124 122 7 6
1708089359.0977 133 128 9 6
1708089359.1053 141 136 8 8
1708089359.1139 147 145 6 9
1708089359.1215 152 152 5 7
1708089359.1301 159 157 7 5
1708089359.1383 168 163 9 6
1708089359.1463 176 172 8 9
1708089359.1533 181 181 5 9
1708089359.1614 187 187 6 6
1708089359.1700 195 191 8 4
1708089359.1777 204 198 9 7
1708089359.1858 211 206 7 8
1708089359.1937 217 213 6 7
1708089359.2017 222 219 5 6
1708089359.2097 229 225 7 6
1708089359.2173 237 232 8 7
1708089359.2260 243 240 6 8
1708089359.2341 248 247 5 7
1708089359.2417 255 253 7 6
1708089359.2503 262 259 7 6
1708089359.2574 269 266 7 7
1708089359.2661 276 274 7 8
1708089359.2737 281 280 5 6
1708089359.2817 287 286 6 6
1708089359.2897 294 292 7 6
1708089359.2977 302 300 8 8
1708089359.3057 308 307 6 7
1708089359.3143 313 313 5 6
1708089359.3218 319 319 6 6
1708089359.3299 328 326 9 7
1708089359.3378 336 334 8 8
1708089359.3457 342 341 6 7
1708089359.3538 347 346 5 5
1708089359.3613 354 352 7 6
1708089359.3699 362 360 8 8
1708089359.3773 369 368 7 8
1708089359.3859 375 375 6 7
1708089359.3937 380 380 5 5
1708089359.4019 387 387 7 7
1708089359.4093 395 395 8 8
1708089359.4179 403 401 8 6
1708089359.4253 410 407 7 6
1708089359.4339 415 414 5 7
1708089359.4417 421 422 6 8
1708089359.4497 428 429 7 7
1708089359.4573 436 435 8 6
1708089359.4659 443 441 7 6
1708089359.4744 449 448 6 7
1708089359.4819 455 456 6 8
1708089359.4894 463 463 8 7
1708089359.4978 471 469 8 6
1708089359.5054 478 474 7 5
1708089359.5133 484 481 6 7
1708089359.5214 489 489 5 8
1708089359.5300 495 496 6 7
1708089359.5376 504 502 9 6
1708089359.5459 512 508 8 6
1708089359.5534 517 516 5 8
1708089359.5613 521 523 4 7
1708089359.5693 527 529 6 6
1708089359.5780 535 536 8 7
1708089359.5855 543 543 8 7
1708089359.5938 551 550 8 7
1708089359.6017 557 556 6 6
1708089359.6103 562 562 5 6
1708089359.6173 569 569 7 7
1708089359.6260 577 577 8 8
1708089359.6335 584 584 7 7
1708089359.6419 589 590 5 6
1708089359.6498 595 595 6 5
1708089359.6573 604 601 9 6
1708089359.6654 611 609 7 8
1708089359.6740 616 617 5 8
1708089359.6815 622 623 6 6
1708089359.6896 631 629 9 6
1708089359.6979 638 636 7 7
1708089359.7054 644 644 6 8
1708089359.7134 650 651 6 7
1708089359.7221 657 657 7 6
1708089359.7296 665 662 8 5
1708089359.7373 673 668 8 6
1708089359.7463 678 677 5 9
1708089359.7538 683 684 5 7
1708089359.7619 691 690 8 6
1708089359.7696 699 695 8 5
1708089359.7782 706 702 7 7
1708089359.7855 712 711 6 9
1708089359.7934 718 718 6 7
1708089359.8019 725 724 7 6
1708089359.8100 733 730 8 6
1708089359.8175 741 736 8 6
1708089359.8261 747 744 6 8
1708089359.8335 753 752 6 8
1708089359.8426 760 759 7 7
1708089359.8501 768 764 8 5
1708089359.8583 775 771 7 7
1708089359.8663 781 780 6 9
1708089359.8733 788 787 7 7
1708089359.8814 794 792 6 5
1708089359.8901 800 798 6 6
