% Edge sensor logfile normalized 'log_20240214_123342.369/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1707910422.7793 0 0 0 0 0 0 0 0  0.0000
1707910422.7867 0 0 0 0 0 0 0 0  0.0000
1707910422.7948 0 0 0 0 0 0 0 0  0.0000
1707910422.8026 0 0 0 0 0 0 0 0  0.0000
1707910422.8106 0 0 0 0 0 0 0 0  0.0000
1707910422.8187 0 0 0 0 0 0 0 0  0.0000
1707910422.8264 0 0 0 0 0 0 0 0  0.0000
1707910422.8348 0 0 0 0 0 0 0 0  0.0000
1707910422.8429 0 0 0 0 0 0 0 0  0.0000
1707910422.8507 0 0 0 0 0 0 0 0  0.0000
1707910422.8587 0 0 0 0 0 0 0 0  0.0000
1707910422.8668 0 0 0 0 0 0 0 0  0.0000
1707910422.8748 0 0 0 0 0 0 0 0  0.0000
1707910422.8820 0 0 0 0 0 0 0 0  0.0000
1707910422.8901 0 0 0 0 0 0 0 0  0.0000
1707910422.8989 0 0 0 0 0 0 0 0  0.0000
1707910422.9070 0 0 0 0 0 0 0 0  0.0000
1707910422.9140 0 0 0 0 0 0 0 0  0.0000
1707910422.9219 0 0 0 0 0 0 0 0  0.0000
1707910422.9302 0 0 0 0 0 0 0 0  0.0000
1707910422.9385 0 0 0 0 0 0 0 0  0.0000
1707910422.9462 0 0 0 0 0 0 0 0  0.0000
1707910422.9544 0 0 0 0 0 0 0 0  0.0000
1707910422.9625 0 0 0 0 0 0 0 0  0.0000
1707910422.9706 0 0 0 0 0 0 0 0  0.0000
1707910422.9782 0 0 0 0 0 0 0 0  0.0000
1707910422.9862 0 0 0 0 0 0 0 0  0.0000
1707910422.9943 0 0 0 0 0 0 0 0  0.0000
1707910423.0030 0 0 0 0 0 0 0 0  0.0000
1707910423.0100 0 0 0 0 0 0 0 0  0.0000
1707910423.0181 0 0 0 0 0 0 0 0  0.0000
1707910423.0268 0 0 0 0 0 0 0 0  0.0000
1707910423.0348 0 0 0 0 0 0 0 0  0.0000
1707910423.0430 0 0 0 0 0 0 0 0  0.0000
1707910423.0506 0 0 0 0 0 0 0 0  0.0000
1707910423.0586 0 0 0 0 0 0 0 0  0.0000
1707910423.0667 0 0 0 0 0 0 0 0  0.0000
1707910423.0743 0 0 0 0 0 0 0 0  0.0000
1707910423.0822 0 0 0 0 0 0 0 0  0.0000
1707910423.0902 0 0 0 0 0 0 0 0  0.0000
1707910423.0989 0 0 0 0 0 0 0 0  0.0000
1707910423.1070 0 0 0 0 0 0 0 0  0.0000
1707910423.1140 0 0 0 0 0 0 0 0  0.0000
1707910423.1227 0 0 0 0 0 0 0 0  0.0000
1707910423.1305 0 0 0 0 0 0 0 0  0.0000
1707910423.1385 0 0 0 0 0 0 0 0  0.0000
1707910423.1466 0 0 0 0 0 0 0 0  0.0000
1707910423.1542 0 0 0 0 0 0 0 0  0.0000
1707910423.1622 0 0 0 0 0 0 0 0  0.0000
1707910423.1709 0 0 0 0 0 0 0 0  0.0000
1707910423.1785 0 0 0 0 0 0 0 0  0.0000
1707910423.1869 0 0 0 0 0 0 0 0  0.0000
1707910423.1949 0 0 0 0 0 0 0 0  0.0000
1707910423.2027 0 0 0 0 0 0 0 0  0.0000
1707910423.2108 0 0 0 0 0 0 0 0  0.0000
1707910423.2183 0 0 0 0 0 0 0 0  0.0000
1707910423.2270 0 0 0 0 0 0 0 0  0.0000
1707910423.2347 0 0 0 0 0 0 0 0  0.0000
1707910423.2422 0 0 0 0 0 0 0 0  0.0000
1707910423.2510 0 0 0 0 0 0 0 0  0.0000
1707910423.2590 0 0 0 0 0 0 0 0  0.0000
1707910423.2666 0 0 0 0 0 0 0 0  0.0000
1707910423.2743 0 0 0 0 0 0 0 0  0.0000
1707910423.2820 0 0 0 0 0 0 0 0  0.0000
1707910423.2906 0 0 0 0 0 0 0 0  0.0000
1707910423.2982 0 0 0 0 0 0 0 0  0.0000
1707910423.3063 0 0 0 0 0 0 0 0  0.0000
1707910423.3149 0 0 0 0 0 0 0 0  0.0000
1707910423.3226 0 0 0 0 0 0 0 0  0.0000
1707910423.3303 0 0 0 0 0 0 0 0  0.0000
1707910423.3390 0 0 0 0 0 0 0 0  0.0000
1707910423.3467 0 0 0 0 0 0 0 0  0.0000
1707910423.3548 0 0 0 0 0 0 0 0  0.0000
1707910423.3624 0 0 0 0 0 0 0 0  0.0000
1707910423.3703 0 0 0 0 0 0 0 0  0.0000
1707910423.3784 0 0 0 0 0 0 0 0  0.0000
1707910423.3863 0 0 0 0 0 0 0 0  0.0000
1707910423.3942 0 0 0 0 0 0 0 0  0.0000
1707910423.4022 0 0 0 0 0 0 0 0  0.0000
1707910423.4110 0 0 0 0 0 0 0 0  0.0000
1707910423.4189 0 0 0 0 0 0 0 0  0.0000
1707910423.4270 0 0 0 0 0 0 0 0  0.0000
1707910423.4341 0 0 0 0 0 0 0 0  0.0000
1707910423.4429 0 0 0 0 0 0 0 0  0.0000
1707910423.4510 0 0 0 0 0 0 0 0  0.0000
1707910423.4587 0 0 0 0 0 0 0 0  0.0000
1707910423.4666 0 0 0 0 0 0 0 0  0.0000
1707910423.4746 0 0 0 0 0 0 0 0  0.0000
1707910423.4826 0 0 0 0 0 0 0 0  0.0000
1707910423.4902 0 0 0 0 0 0 0 0  0.0000
1707910423.4983 0 0 0 0 0 0 0 0  0.0000
1707910423.5063 0 0 0 0 0 0 0 0  0.0000
1707910423.5150 0 0 0 0 0 0 0 0  0.0000
1707910423.5231 0 0 0 0 0 0 0 0  0.0000
1707910423.5311 0 0 0 0 0 0 0 0  0.0000
1707910423.5388 0 0 0 0 0 0 0 0  0.0000
1707910423.5470 0 0 0 0 0 0 0 0  0.0000
1707910423.5550 0 0 0 0 0 0 0 0  0.0000
1707910423.5627 0 0 0 0 0 0 0 0  0.0000
1707910423.5707 0 0 0 0 0 0 0 0  0.0000
1707910423.5784 0 0 0 0 0 0 0 0  0.0000
1707910423.5864 0 0 0 0 0 0 0 0  0.0000
1707910423.5949 0 0 0 0 0 0 0 0  0.0000
1707910423.6026 0 0 0 0 0 0 0 0  0.0000
1707910423.6103 0 0 0 0 0 0 0 0  0.0000
1707910423.6185 0 0 0 0 0 0 0 0  0.0000
1707910423.6262 0 0 0 0 0 0 0 0  0.0000
1707910423.6343 0 0 0 0 0 0 0 0  0.0000
1707910423.6428 0 0 0 0 0 0 0 0  0.0000
1707910423.6503 0 0 0 0 0 0 0 0  0.0000
1707910423.6591 0 0 0 0 0 0 0 0  0.0000
1707910423.6661 0 0 0 0 0 0 0 0  0.0000
1707910423.6748 0 0 0 0 0 0 0 0  0.0000
1707910423.6828 0 0 0 0 0 0 0 0  0.0000
1707910423.6901 0 0 0 0 0 0 0 0  0.0000
1707910423.6988 0 0 0 0 0 0 0 0  0.0000
1707910423.7064 0 0 0 0 0 0 0 0  0.0000
1707910423.7145 0 0 0 0 0 0 0 0  0.0000
1707910423.7222 0 0 0 0 0 0 0 0  0.0000
1707910423.7305 0 0 0 0 0 0 0 0  0.0000
1707910423.7386 0 0 0 0 0 0 0 0  0.0000
1707910423.7463 0 0 0 0 0 0 0 0  0.0000
1707910423.7550 0 0 0 0 0 0 0 0  0.0000
1707910423.7620 0 0 0 0 0 0 0 0  0.0000
1707910423.7707 0 0 0 0 0 0 0 0  0.0000
1707910423.7787 0 0 0 0 0 0 0 0  0.0000
1707910423.7871 0 0 0 0 0 0 0 0  0.0000
1707910423.7947 0 0 0 0 0 0 0 0  0.0000
1707910423.8023 0 0 0 0 0 0 0 0  0.0000
1707910423.8104 0 0 0 0 0 0 0 0  0.0000
1707910423.8190 0 0 0 0 0 0 0 0  0.0000
1707910423.8270 0 0 0 0 0 0 0 0  0.0000
1707910423.8343 0 0 0 0 0 0 0 0  0.0000
