% Edge sensor logfile normalized 'log_20240214_123342.369/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1707910423.8431 0 0 0 0 0 0 0 0  0.0000
1707910423.8508 0 0 0 0 0 0 0 0  0.0000
1707910423.8589 0 0 0 0 0 0 0 0  0.0000
1707910423.8668 0 0 0 0 0 0 0 0  0.0000
1707910423.8745 0 0 0 0 0 0 0 0  0.0000
1707910423.8829 0 0 0 0 0 0 0 0  0.0000
1707910423.8905 0 0 0 0 0 0 0 0  0.0000
1707910423.8983 0 0 0 0 0 0 0 0  0.0000
1707910423.9064 0 0 0 0 0 0 0 0  0.0000
1707910423.9144 0 0 0 0 0 0 0 0  0.0000
1707910423.9221 0 0 0 0 0 0 0 0  0.0000
1707910423.9308 0 0 0 0 0 0 0 0  0.0000
1707910423.9384 0 0 0 0 0 0 0 0  0.0000
1707910423.9471 0 0 0 0 0 0 0 0  0.0000
1707910423.9544 0 0 0 0 0 0 0 0  0.0000
1707910423.9630 0 0 0 0 0 0 0 0  0.0000
1707910423.9707 0 0 0 0 0 0 0 0  0.0000
1707910423.9787 0 0 0 0 0 0 0 0  0.0000
1707910423.9866 0 0 0 0 0 0 0 0  0.0000
1707910423.9942 0 0 0 0 0 0 0 0  0.0000
1707910424.0027 0 0 0 0 0 0 0 0  0.0000
1707910424.0103 0 0 0 0 0 0 0 0  0.0000
1707910424.0190 0 0 0 0 0 0 0 0  0.0000
1707910424.0270 0 0 0 0 0 0 0 0  0.0000
1707910424.0351 0 0 0 0 0 0 0 0  0.0000
1707910424.0426 0 0 0 0 0 0 0 0  0.0000
1707910424.0511 0 0 0 0 0 0 0 0  0.0000
1707910424.0586 0 0 0 0 0 0 0 0  0.0000
1707910424.0662 0 0 0 0 0 0 0 0  0.0000
1707910424.0742 0 0 0 0 0 0 0 0  0.0000
1707910424.0820 0 0 0 0 0 0 0 0  0.0000
1707910424.0901 0 0 0 0 0 0 0 0  0.0000
1707910424.0981 0 0 0 0 0 0 0 0  0.0000
1707910424.1069 0 0 0 0 0 0 0 0  0.0000
1707910424.1149 0 0 0 0 0 0 0 0  0.0000
1707910424.1222 0 0 0 0 0 0 0 0  0.0000
1707910424.1311 0 0 0 0 0 0 0 0  0.0000
1707910424.1390 0 0 0 0 0 0 0 0  0.0000
1707910424.1470 0 0 0 0 0 0 0 0  0.0000
1707910424.1545 0 0 0 0 0 0 0 0  0.0000
1707910424.1621 0 0 0 0 0 0 0 0  0.0000
1707910424.1701 0 0 0 0 0 0 0 0  0.0000
1707910424.1788 0 0 0 0 0 0 0 0  0.0000
1707910424.1870 0 0 0 0 0 0 0 0  0.0000
1707910424.1951 0 0 0 0 0 0 0 0  0.0000
1707910424.2028 0 0 0 0 0 0 0 0  0.0000
1707910424.2103 0 0 0 0 0 0 0 0  0.0000
1707910424.2184 0 0 0 0 0 0 0 0  0.0000
1707910424.2263 0 0 0 0 0 0 0 0  0.0000
1707910424.2345 0 0 0 0 0 0 0 0  0.0000
1707910424.2427 0 0 0 0 0 0 0 0  0.0000
1707910424.2503 0 0 0 0 0 0 0 0  0.0000
1707910424.2589 0 0 0 0 0 0 0 0  0.0000
1707910424.2669 0 0 0 0 0 0 0 0  0.0000
1707910424.2743 0 0 0 0 0 0 0 0  0.0000
1707910424.2826 0 0 0 0 0 0 0 0  0.0000
1707910424.2903 0 0 0 0 0 0 0 0  0.0000
1707910424.2984 0 0 0 0 0 0 0 0  0.0000
1707910424.3065 0 0 0 0 0 0 0 0  0.0000
1707910424.3144 0 0 0 0 0 0 0 0  0.0000
1707910424.3225 0 0 0 0 0 0 0 0  0.0000
1707910424.3308 0 0 0 0 0 0 0 0  0.0000
1707910424.3385 0 0 0 0 0 0 0 0  0.0000
1707910424.3466 0 0 0 0 0 0 0 0  0.0000
1707910424.3547 0 0 0 0 0 0 0 0  0.0000
1707910424.3627 0 0 0 0 0 0 0 0  0.0000
1707910424.3708 0 0 0 0 0 0 0 0  0.0000
1707910424.3789 0 0 0 0 0 0 0 0  0.0000
1707910424.3868 0 0 0 0 0 0 0 0  0.0000
1707910424.3949 0 0 0 0 0 0 0 0  0.0000
1707910424.4030 0 0 0 0 0 0 0 0  0.0000
1707910424.4110 0 0 0 0 0 0 0 0  0.0000
1707910424.4191 0 0 0 0 0 0 0 0  0.0000
1707910424.4261 0 0 0 0 0 0 0 0  0.0000
1707910424.4342 0 0 0 0 0 0 0 0  0.0000
1707910424.4423 0 0 0 0 0 0 0 0  0.0000
1707910424.4506 0 0 0 0 0 0 0 0  0.0000
1707910424.4583 0 0 0 0 0 0 0 0  0.0000
1707910424.4664 0 0 0 0 0 0 0 0  0.0000
1707910424.4745 0 0 0 0 0 0 0 0  0.0000
1707910424.4824 0 0 0 0 0 0 0 0  0.0000
1707910424.4906 0 0 0 0 0 0 0 0  0.0000
1707910424.4989 0 0 0 0 0 0 0 0  0.0000
1707910424.5066 0 0 0 0 0 0 0 0  0.0000
1707910424.5147 0 0 0 0 0 0 0 0  0.0000
1707910424.5228 0 0 0 0 0 0 0 0  0.0000
1707910424.5307 0 0 0 0 0 0 0 0  0.0000
1707910424.5388 0 0 0 0 0 0 0 0  0.0000
1707910424.5460 0 0 0 0 0 0 0 0  0.0000
1707910424.5549 0 0 0 0 0 0 0 0  0.0000
1707910424.5629 0 0 0 0 0 0 0 0  0.0000
1707910424.5710 0 0 0 0 0 0 0 0  0.0000
1707910424.5788 0 0 0 0 0 0 0 0  0.0000
1707910424.5862 0 0 0 0 0 0 0 0  0.0000
1707910424.5943 0 0 0 0 0 0 0 0  0.0000
1707910424.6020 0 0 0 0 0 0 0 0  0.0000
1707910424.6101 0 0 0 0 0 0 0 0  0.0000
1707910424.6182 0 0 0 0 0 0 0 0  0.0000
1707910424.6270 0 0 0 0 0 0 0 0  0.0000
1707910424.6345 0 0 0 0 0 0 0 0  0.0000
1707910424.6425 0 0 0 0 0 0 0 0  0.0000
1707910424.6503 0 0 0 0 0 0 0 0  0.0000
1707910424.6584 0 0 0 0 0 0 0 0  0.0000
1707910424.6665 0 0 0 0 0 0 0 0  0.0000
1707910424.6744 0 0 0 0 0 0 0 0  0.0000
1707910424.6827 0 0 0 0 0 0 0 0  0.0000
1707910424.6908 0 0 0 0 0 0 0 0  0.0000
1707910424.6985 0 0 0 0 0 0 0 0  0.0000
1707910424.7066 0 0 0 0 0 0 0 0  0.0000
1707910424.7147 0 0 0 0 0 0 0 0  0.0000
1707910424.7227 0 0 0 0 0 0 0 0  0.0000
1707910424.7309 0 0 0 0 0 0 0 0  0.0000
1707910424.7390 0 0 0 0 0 0 0 0  0.0000
1707910424.7468 0 0 0 0 0 0 0 0  0.0000
1707910424.7549 0 0 0 0 0 0 0 0  0.0000
1707910424.7630 0 0 0 0 0 0 0 0  0.0000
1707910424.7710 0 0 0 0 0 0 0 0  0.0000
1707910424.7791 0 0 0 0 0 0 0 0  0.0000
1707910424.7863 0 0 0 0 0 0 0 0  0.0000
1707910424.7940 0 0 0 0 0 0 0 0  0.0000
1707910424.8022 0 0 0 0 0 0 0 0  0.0000
1707910424.8105 0 0 0 0 0 0 0 0  0.0000
1707910424.8182 0 0 0 0 0 0 0 0  0.0000
1707910424.8263 0 0 0 0 0 0 0 0  0.0000
1707910424.8346 0 0 0 0 0 0 0 0  0.0000
1707910424.8424 0 0 0 0 0 0 0 0  0.0000
1707910424.8505 0 0 0 0 0 0 0 0  0.0000
1707910424.8587 0 0 0 0 0 0 0 0  0.0000
1707910424.8664 0 0 0 0 0 0 0 0  0.0000
1707910424.8745 0 0 0 0 0 0 0 0  0.0000
1707910424.8828 0 0 0 0 0 0 0 0  0.0000
1707910424.8906 0 0 0 0 0 0 0 0  0.0000
1707910424.8987 0 0 0 0 0 0 0 0  0.0000
1707910424.9070 0 0 0 0 0 0 0 0  0.0000
1707910424.9147 0 0 0 0 0 0 0 0  0.0000
1707910424.9228 0 0 0 0 0 0 0 0  0.0000
1707910424.9302 0 0 0 0 0 0 0 0  0.0000
1707910424.9390 0 0 0 0 0 0 0 0  0.0000
1707910424.9462 0 0 0 0 0 0 0 0  0.0000
1707910424.9543 0 0 0 0 0 0 0 0  0.0000
1707910424.9621 0 0 0 0 0 0 0 0  0.0000
1707910424.9702 0 0 0 0 0 0 0 0  0.0000
1707910424.9787 0 0 0 0 0 0 0 0  0.0000
1707910424.9871 0 0 0 0 0 0 0 0  0.0000
1707910424.9950 0 0 0 0 0 0 0 0  0.0000
1707910425.0025 0 0 0 0 0 0 0 0  0.0000
1707910425.0107 0 0 0 0 0 0 0 0  0.0000
1707910425.0182 0 0 0 0 0 0 0 0  0.0000
1707910425.0269 0 0 0 0 0 0 0 0  0.0000
1707910425.0345 0 0 0 0 0 0 0 0  0.0000
1707910425.0421 0 0 0 0 0 0 0 0  0.0000
1707910425.0507 0 0 0 0 0 0 0 0  0.0000
1707910425.0588 0 0 0 0 0 0 0 0  0.0000
1707910425.0663 0 0 0 0 0 0 0 0  0.0000
1707910425.0749 0 0 0 0 0 0 0 0  0.0000
1707910425.0825 0 0 0 0 0 0 0 0  0.0000
1707910425.0901 0 0 0 0 0 0 0 0  0.0000
1707910425.0987 0 0 0 0 0 0 0 0  0.0000
1707910425.1067 0 0 0 0 0 0 0 0  0.0000
1707910425.1142 0 0 0 0 0 0 0 0  0.0000
1707910425.1228 0 0 0 0 0 0 0 0  0.0000
1707910425.1305 0 0 0 0 0 0 0 0  0.0000
1707910425.1391 0 0 0 0 0 0 0 0  0.0000
1707910425.1466 0 0 0 0 0 0 0 0  0.0000
1707910425.1547 0 0 0 0 0 0 0 0  0.0000
1707910425.1622 0 0 0 0 0 0 0 0  0.0000
1707910425.1701 0 0 0 0 0 0 0 0  0.0000
1707910425.1781 0 0 0 0 0 0 0 0  0.0000
1707910425.1870 0 0 0 0 0 0 0 0  0.0000
1707910425.1945 0 0 0 0 0 0 0 0  0.0000
1707910425.2025 0 0 0 0 0 0 0 0  0.0000
1707910425.2101 0 0 0 0 0 0 0 0  0.0000
1707910425.2190 0 0 0 0 0 0 0 0  0.0000
1707910425.2271 0 0 0 0 0 0 0 0  0.0000
1707910425.2349 0 0 0 0 0 0 0 0  0.0000
1707910425.2424 0 0 0 0 0 0 0 0  0.0000
1707910425.2504 0 0 0 0 0 0 0 0  0.0000
1707910425.2590 0 0 0 0 0 0 0 0  0.0000
1707910425.2668 0 0 0 0 0 0 0 0  0.0000
1707910425.2749 0 0 0 0 0 0 0 0  0.0000
1707910425.2827 0 0 0 0 0 0 0 0  0.0000
1707910425.2902 0 0 0 0 0 0 0 0  0.0000
1707910425.2983 0 0 0 0 0 0 0 0  0.0000
1707910425.3062 0 0 0 0 0 0 0 0  0.0000
1707910425.3148 0 0 0 0 0 0 0 0  0.0000
1707910425.3228 0 0 0 0 0 0 0 0  0.0000
1707910425.3306 0 0 0 0 0 0 0 0  0.0000
1707910425.3381 0 0 0 0 0 0 0 0  0.0000
1707910425.3462 0 0 0 0 0 0 0 0  0.0000
1707910425.3541 0 0 0 0 0 0 0 0  0.0000
1707910425.3627 0 0 0 0 0 0 0 0  0.0000
1707910425.3707 0 0 0 0 0 0 0 0  0.0000
1707910425.3782 0 0 0 0 0 0 0 0  0.0000
1707910425.3861 0 0 0 0 0 0 0 0  0.0000
1707910425.3944 0 0 0 0 0 0 0 0  0.0000
1707910425.4031 0 0 0 0 0 0 0 0  0.0000
1707910425.4106 0 0 0 0 0 0 0 0  0.0000
1707910425.4186 0 0 0 0 0 0 0 0  0.0000
1707910425.4261 0 0 0 0 0 0 0 0  0.0000
1707910425.4343 0 0 0 0 0 0 0 0  0.0000
1707910425.4427 0 0 0 0 0 0 0 0  0.0000
1707910425.4502 0 0 0 0 0 0 0 0  0.0000
1707910425.4588 0 0 0 0 0 0 0 0  0.0000
1707910425.4669 0 0 0 0 0 0 0 0  0.0000
1707910425.4744 0 0 0 0 0 0 0 0  0.0000
1707910425.4822 0 0 0 0 0 0 0 0  0.0000
1707910425.4906 0 0 0 0 0 0 0 0  0.0000
1707910425.4982 0 0 0 0 0 0 0 0  0.0000
1707910425.5068 0 0 0 0 0 0 0 0  0.0000
1707910425.5149 0 0 0 0 0 0 0 0  0.0000
1707910425.5225 0 0 0 0 0 0 0 0  0.0000
1707910425.5307 0 0 0 0 0 0 0 0  0.0000
1707910425.5387 0 0 0 0 0 0 0 0  0.0000
1707910425.5463 0 0 0 0 0 0 0 0  0.0000
1707910425.5549 0 0 0 0 0 0 0 0  0.0000
1707910425.5629 0 0 0 0 0 0 0 0  0.0000
1707910425.5704 0 0 0 0 0 0 0 0  0.0000
1707910425.5783 0 0 0 0 0 0 0 0  0.0000
1707910425.5867 0 0 0 0 0 0 0 0  0.0000
1707910425.5942 0 0 0 0 0 0 0 0  0.0000
1707910425.6028 0 0 0 0 0 0 0 0  0.0000
1707910425.6109 0 0 0 0 0 0 0 0  0.0000
1707910425.6184 0 0 0 0 0 0 0 0  0.0000
1707910425.6263 0 0 0 0 0 0 0 0  0.0000
1707910425.6347 0 0 0 0 0 0 0 0  0.0000
1707910425.6423 0 0 0 0 0 0 0 0  0.0000
1707910425.6510 0 0 0 0 0 0 0 0  0.0000
1707910425.6590 0 0 0 0 0 0 0 0  0.0000
1707910425.6670 0 0 0 0 0 0 0 0  0.0000
1707910425.6746 0 0 0 0 0 0 0 0  0.0000
1707910425.6830 0 0 0 0 0 0 0 0  0.0000
1707910425.6905 0 0 0 0 0 0 0 0  0.0000
1707910425.6981 0 0 0 0 0 0 0 0  0.0000
1707910425.7061 0 0 0 0 0 0 0 0  0.0000
1707910425.7150 0 0 0 0 0 0 0 0  0.0000
1707910425.7226 0 0 0 0 0 0 0 0  0.0000
1707910425.7309 0 0 0 0 0 0 0 0  0.0000
1707910425.7385 0 0 0 0 0 0 0 0  0.0000
1707910425.7471 0 0 0 0 0 0 0 0  0.0000
1707910425.7544 0 0 0 0 0 0 0 0  0.0000
1707910425.7631 0 0 0 0 0 0 0 0  0.0000
1707910425.7706 0 0 0 0 0 0 0 0  0.0000
1707910425.7786 0 0 0 0 0 0 0 0  0.0000
1707910425.7865 0 0 0 0 0 0 0 0  0.0000
1707910425.7942 0 0 0 0 0 0 0 0  0.0000
1707910425.8026 0 0 0 0 0 0 0 0  0.0000
1707910425.8101 0 0 0 0 0 0 0 0  0.0000
1707910425.8187 0 0 0 0 0 0 0 0  0.0000
1707910425.8267 0 0 0 0 0 0 0 0  0.0000
1707910425.8347 0 0 0 0 0 0 0 0  0.0000
1707910425.8422 0 0 0 0 0 0 0 0  0.0000
1707910425.8506 0 0 0 0 0 0 0 0  0.0000
1707910425.8582 0 0 0 0 0 0 0 0  0.0000
1707910425.8670 0 0 0 0 0 0 0 0  0.0000
1707910425.8751 0 0 0 0 0 0 0 0  0.0000
1707910425.8830 0 0 0 0 0 0 0 0  0.0000
1707910425.8911 0 0 0 0 0 0 0 0  0.0000
1707910425.8981 0 0 0 0 0 0 0 0  0.0000
1707910425.9067 0 0 0 0 0 0 0 0  0.0000
1707910425.9142 0 0 0 0 0 0 0 0  0.0000
1707910425.9223 0 0 0 0 0 0 0 0  0.0000
1707910425.9305 0 0 0 0 0 0 0 0  0.0000
1707910425.9384 0 0 0 0 0 0 0 0  0.0000
1707910425.9465 0 0 0 0 0 0 0 0  0.0000
1707910425.9541 0 0 0 0 0 0 0 0  0.0000
1707910425.9628 0 0 0 0 0 0 0 0  0.0000
1707910425.9708 0 0 0 0 0 0 0 0  0.0000
1707910425.9785 0 0 0 0 0 0 0 0  0.0000
1707910425.9866 0 0 0 0 0 0 0 0  0.0000
1707910425.9947 0 0 0 0 0 0 0 0  0.0000
1707910426.0023 0 0 0 0 0 0 0 0  0.0000
1707910426.0109 0 0 0 0 0 0 0 0  0.0000
1707910426.0190 0 0 0 0 0 0 0 0  0.0000
1707910426.0269 0 0 0 0 0 0 0 0  0.0000
1707910426.0348 0 0 0 0 0 0 0 0  0.0000
1707910426.0429 0 0 0 0 0 0 0 0  0.0000
1707910426.0504 0 0 0 0 0 0 0 0  0.0000
1707910426.0591 0 0 0 0 0 0 0 0  0.0000
1707910426.0661 0 0 0 0 0 0 0 0  0.0000
1707910426.0751 0 0 0 0 0 0 0 0  0.0000
1707910426.0830 0 0 0 0 0 0 0 0  0.0000
1707910426.0910 0 0 0 0 0 0 0 0  0.0000
1707910426.0986 0 0 0 0 0 0 0 0  0.0000
1707910426.1063 0 0 0 0 0 0 0 0  0.0000
1707910426.1148 0 0 0 0 0 0 0 0  0.0000
1707910426.1223 0 0 0 0 0 0 0 0  0.0000
1707910426.1314 0 0 0 0 0 0 0 0  0.0000
1707910426.1383 0 0 0 0 0 0 0 0  0.0000
1707910426.1469 0 0 0 0 0 0 0 0  0.0000
1707910426.1545 0 0 0 0 0 0 0 0  0.0000
1707910426.1629 0 0 0 0 0 0 0 0  0.0000
1707910426.1705 0 0 0 0 0 0 0 0  0.0000
1707910426.1791 0 0 0 0 0 0 0 0  0.0000
1707910426.1866 0 0 0 0 0 0 0 0  0.0000
1707910426.1942 0 0 0 0 0 0 0 0  0.0000
1707910426.2029 0 0 0 0 0 0 0 0  0.0000
1707910426.2103 0 0 0 0 0 0 0 0  0.0000
1707910426.2191 0 0 0 0 0 0 0 0  0.0000
1707910426.2267 0 0 0 0 0 0 0 0  0.0000
1707910426.2351 0 0 0 0 0 0 0 0  0.0000
1707910426.2427 0 0 0 0 0 0 0 0  0.0000
1707910426.2506 0 0 0 0 0 0 0 0  0.0000
1707910426.2587 0 0 0 0 0 0 0 0  0.0000
1707910426.2664 0 0 0 0 0 0 0 0  0.0000
1707910426.2741 0 0 0 0 0 0 0 0  0.0000
1707910426.2826 0 0 0 0 0 0 0 0  0.0000
1707910426.2902 0 0 0 0 0 0 0 0  0.0000
1707910426.2984 0 0 0 0 0 0 0 0  0.0000
1707910426.3065 0 0 0 0 0 0 0 0  0.0000
1707910426.3141 0 0 0 0 0 0 0 0  0.0000
1707910426.3229 0 0 0 0 0 0 0 0  0.0000
1707910426.3313 0 0 0 0 0 0 0 0  0.0000
1707910426.3391 0 0 0 0 0 0 0 0  0.0000
1707910426.3470 0 0 0 0 0 0 0 0  0.0000
1707910426.3550 0 0 0 0 0 0 0 0  0.0000
1707910426.3627 0 0 0 0 0 0 0 0  0.0000
1707910426.3703 0 0 0 0 0 0 0 0  0.0000
1707910426.3783 0 0 0 0 0 0 0 0  0.0000
1707910426.3864 0 0 0 0 0 0 0 0  0.0000
1707910426.3951 0 0 0 0 0 0 0 0  0.0000
1707910426.4031 0 0 0 0 0 0 0 0  0.0000
1707910426.4106 0 0 0 0 0 0 0 0  0.0000
1707910426.4183 0 0 0 0 0 0 0 0  0.0000
1707910426.4264 0 0 0 0 0 0 0 0  0.0000
1707910426.4348 0 0 0 0 0 0 0 0  0.0000
1707910426.4424 0 0 0 0 0 0 0 0  0.0000
1707910426.4503 0 0 0 0 0 0 0 0  0.0000
1707910426.4588 0 0 0 0 0 0 0 0  0.0000
1707910426.4662 0 0 0 0 0 0 0 0  0.0000
1707910426.4744 0 0 0 0 0 0 0 0  0.0000
1707910426.4829 0 0 0 0 0 0 0 0  0.0000
1707910426.4910 0 0 0 0 0 0 0 0  0.0000
1707910426.4987 0 0 0 0 0 0 0 0  0.0000
1707910426.5069 0 0 0 0 0 0 0 0  0.0000
1707910426.5149 0 0 0 0 0 0 0 0  0.0000
1707910426.5228 0 0 0 0 0 0 0 0  0.0000
1707910426.5311 0 0 0 0 0 0 0 0  0.0000
1707910426.5391 0 0 0 0 0 0 0 0  0.0000
1707910426.5468 0 0 0 0 0 0 0 0  0.0000
1707910426.5549 0 0 0 0 0 0 0 0  0.0000
1707910426.5631 0 0 0 0 0 0 0 0  0.0000
1707910426.5710 0 0 0 0 0 0 0 0  0.0000
1707910426.5791 0 0 0 0 0 0 0 0  0.0000
