% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1708090007.9689 0 0 0 0
1708090007.9768 0 0 0 0
1708090007.9845 4294967295 4294967295 -1 -1
1708090007.9925 4294967295 4294967295 0 0
1708090008.0006 4294967295 4294967295 0 0
1708090008.0084 4294967295 4294967295 0 0
1708090008.0165 4294967295 4294967295 0 0
1708090008.0250 4294967295 4294967295 0 0
1708090008.0327 4294967295 4294967295 0 0
1708090008.0408 4294967295 4294967295 0 0
1708090008.0489 4294967295 4294967295 0 0
1708090008.0566 4294967295 4294967295 0 0
1708090008.0647 4294967295 4294967295 0 0
1708090008.0732 4294967295 4294967295 0 0
1708090008.0812 4294967295 4294967295 0 0
1708090008.0885 4294967295 4294967295 0 0
1708090008.0966 4294967295 4294967295 0 0
1708090008.1046 4294967295 4294967295 0 0
1708090008.1130 4294967295 4294967295 0 0
1708090008.1213 0 0 1 1
1708090008.1292 3 2 3 2
1708090008.1373 7 6 4 4
1708090008.1444 9 7 2 1
1708090008.1532 11 8 2 1
1708090008.1605 15 13 4 5
1708090008.1686 18 16 3 3
1708090008.1765 21 18 3 2
1708090008.1846 25 22 4 4
1708090008.1927 30 26 5 4
1708090008.2005 35 31 5 5
1708090008.2088 40 37 5 6
1708090008.2170 46 43 6 6
1708090008.2249 53 49 7 6
1708090008.2330 59 55 6 6
1708090008.2410 66 62 7 7
1708090008.2492 73 69 7 7
1708090008.2566 79 76 6 7
1708090008.2652 88 83 9 7
1708090008.2724 96 90 8 7
1708090008.2810 102 97 6 7
1708090008.2883 108 104 6 7
1708090008.2970 115 111 7 7
1708090008.3045 124 118 9 7
1708090008.3130 132 125 8 7
1708090008.3210 139 132 7 7
1708090008.3289 145 140 6 8
1708090008.3368 151 147 6 7
1708090008.3448 158 154 7 7
1708090008.3524 166 160 8 6
1708090008.3611 173 167 7 7
1708090008.3692 179 176 6 9
1708090008.3772 186 183 7 7
1708090008.3853 194 191 8 8
1708090008.3934 201 196 7 5
1708090008.4012 208 202 7 6
1708090008.4089 214 210 6 8
1708090008.4170 219 218 5 8
1708090008.4249 227 225 8 7
1708090008.4328 235 231 8 6
1708090008.4409 242 236 7 5
1708090008.4487 247 244 5 8
1708090008.4573 253 252 6 8
1708090008.4644 260 259 7 7
1708090008.4727 268 264 8 5
1708090008.4813 275 270 7 6
1708090008.4894 279 277 4 7
1708090008.4972 286 286 7 9
1708090008.5049 294 292 8 6
1708090008.5129 300 298 6 6
1708090008.5210 305 304 5 6
1708090008.5289 312 312 7 8
1708090008.5370 319 319 7 7
1708090008.5447 327 325 8 6
1708090008.5533 333 331 6 6
1708090008.5613 339 338 6 7
1708090008.5684 346 346 7 8
1708090008.5764 354 353 8 7
1708090008.5844 360 358 6 5
1708090008.5930 365 364 5 6
1708090008.6005 372 372 7 8
1708090008.6089 380 380 8 8
1708090008.6167 387 387 7 7
1708090008.6245 393 392 6 5
1708090008.6327 399 398 6 6
1708090008.6404 407 405 8 7
1708090008.6492 415 413 8 8
1708090008.6566 420 420 5 7
1708090008.6653 425 426 5 6
1708090008.6734 433 432 8 6
1708090008.6804 442 439 9 7
1708090008.6892 449 447 7 8
1708090008.6973 454 453 5 6
1708090008.7054 460 459 6 6
1708090008.7131 469 466 9 7
1708090008.7207 477 475 8 9
1708090008.7291 483 482 6 7
1708090008.7369 488 487 5 5
1708090008.7449 495 493 7 6
1708090008.7529 502 502 7 9
1708090008.7605 509 510 7 8
1708090008.7690 515 516 6 6
1708090008.7773 520 521 5 5
1708090008.7849 527 527 7 6
1708090008.7931 536 536 9 9
1708090008.8011 542 543 6 7
1708090008.8086 548 549 6 6
1708090008.8171 554 555 6 6
1708090008.8254 562 561 8 6
1708090008.8331 570 569 8 8
1708090008.8405 575 577 5 8
1708090008.8485 580 583 5 6
1708090008.8571 587 588 7 5
1708090008.8646 595 594 8 6
1708090008.8730 604 602 9 8
1708090008.8810 610 609 6 7
1708090008.8886 615 615 5 6
1708090008.8967 621 621 6 6
1708090008.9054 630 628 9 7
1708090008.9130 638 637 8 9
1708090008.9212 644 643 6 6
1708090008.9286 648 649 4 6
1708090008.9374 655 656 7 7
1708090008.9444 663 663 8 7
1708090008.9531 672 669 9 6
1708090008.9607 678 675 6 6
1708090008.9692 684 682 6 7
1708090008.9770 691 690 7 8
1708090008.9847 699 697 8 7
1708090008.9927 706 702 7 5
1708090009.0004 711 708 5 6
1708090009.0091 717 715 6 7
1708090009.0164 724 723 7 8
1708090009.0254 732 730 8 7
1708090009.0333 738 736 6 6
1708090009.0413 745 743 7 7
1708090009.0489 752 750 7 7
1708090009.0568 759 757 7 7
1708090009.0650 766 762 7 5
1708090009.0730 773 768 7 6
1708090009.0806 780 775 7 7
1708090009.0886 786 784 6 9
1708090009.0973 793 791 7 7
1708090009.1053 800 796 7 5
