Ref,Val,Package,PosX,PosY,Rot,Side
"R22","7.5k","R_0805_2012Metric",128.801275,-62.817588,180.000000,top
"R23","2.2k","R_0805_2012Metric",128.886786,-66.066992,180.000000,top
"R24","10k","R_0805_2012Metric",124.219718,-67.691693,0.000000,top
"R25","7.5k","R_0805_2012Metric",112.022589,-63.567276,180.000000,top
"R26","2.2k","R_0805_2012Metric",112.022589,-65.897409,180.000000,top
"R27","10k","R_0805_2012Metric",107.393637,-66.379947,0.000000,top
"R28","7.5k","R_0805_2012Metric",93.910209,-63.704343,180.000000,top
"R29","2.2k","R_0805_2012Metric",94.003644,-66.040334,180.000000,top
"R30","10k","R_0805_2012Metric",89.631588,-67.117768,0.000000,top
"R31","820k","R_0805_2012Metric",82.063899,-77.250776,0.000000,top
"R32","820k","R_0805_2012Metric",68.118617,-73.819709,-90.000000,top
"R33","150k","R_0805_2012Metric",72.403663,-75.506359,-90.000000,top
"R34","150k","R_0805_2012Metric",55.015383,-77.112648,0.000000,top
"R35","7.5k","R_0805_2012Metric",77.590382,-62.792846,180.000000,top
"R36","2.2k","R_0805_2012Metric",77.541369,-66.089013,180.000000,top
"R37","10k","R_0805_2012Metric",72.594250,-67.194728,0.000000,top
"R38","7.5k","R_0805_2012Metric",64.255414,-63.595312,180.000000,top
"R39","2.2k","R_0805_2012Metric",63.625467,-66.173880,180.000000,top
"R40","10k","R_0805_2012Metric",54.654711,-73.722326,180.000000,top
"R41","2.2k","R_0805_2012Metric",108.174826,-89.725306,0.000000,top
"R42","3.9k","R_0805_2012Metric",112.511099,-89.725306,0.000000,top
"R43","5.1k","R_0805_2012Metric",172.411662,-94.515734,0.000000,top
"R44","7.5k","R_0805_2012Metric",177.535661,-91.583291,0.000000,top
"R45","64R","R_0805_2012Metric",166.892339,-94.415865,0.000000,top
"R46","64R","R_0805_2012Metric",162.101928,-94.459341,0.000000,top
"R47","64R","R_0805_2012Metric",153.273446,-94.415865,180.000000,top
"R48","64R","R_0805_2012Metric",82.947959,-94.144054,0.000000,top
"R49","64R","R_0805_2012Metric",77.218503,-94.144054,0.000000,top
"R50","64R","R_0805_2012Metric",71.555944,-94.144054,0.000000,top
