% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1708090280.9407 0 0 0 0
1708090280.9480 0 0 0 0
1708090280.9555 0 0 0 0
1708090280.9640 0 0 0 0
1708090280.9724 0 0 0 0
1708090280.9803 0 0 0 0
1708090280.9877 0 0 0 0
1708090280.9956 0 0 0 0
1708090281.0035 0 0 0 0
1708090281.0123 0 0 0 0
1708090281.0198 0 0 0 0
1708090281.0278 0 0 0 0
1708090281.0359 0 0 0 0
1708090281.0436 0 0 0 0
1708090281.0521 0 0 0 0
1708090281.0599 0 0 0 0
1708090281.0677 0 0 0 0
1708090281.0759 0 0 0 0
1708090281.0841 0 0 0 0
