%% logfile from robot Tania (57)
% Tania (57)
%  1    time 0.211 sec
%  2  3 Motor voltage [V] left, right: 6.06 6.00
%  4  5 Wheel velocity [m/s] left, right: 0.7436 0.8232
%  6    Battery voltage [V]: 11.87
%  7  9 Chirp frequency =785.062 rad/s, phase=0.785062 rad, value=0.706869
0.282 1.97 1.90 0.8648 0.8332 11.86 761.242 6.1702 -0.112746 
0.283 5.55 5.48 0.6965 0.7806 11.87 760.916 0.647929 0.603537 
0.284 7.47 7.40 0.8389 0.7925 11.87 760.59 1.40852 0.986862 
0.285 6.67 6.60 0.6732 0.7735 11.84 760.265 2.16878 0.82647 
0.286 3.59 3.52 0.8806 0.8413 11.82 759.94 2.92872 0.211265 
0.287 -0.06 -0.14 0.7040 0.7724 11.84 759.614 3.68834 -0.51991 
0.288 -2.29 -2.36 0.8240 0.8480 11.86 759.289 4.44763 -0.965155 
0.289 -1.86 -1.94 0.8865 0.7961 11.87 758.965 5.20659 -0.880347 
0.290 0.96 0.91 0.8457 0.8427 11.86 758.64 5.96523 -0.312623 
0.291 4.67 4.59 0.7133 0.7932 11.88 758.315 0.440362 0.426267 
0.292 7.19 7.12 0.8132 0.7941 11.88 757.991 1.19835 0.931441 
0.293 7.17 7.10 0.6711 0.7755 11.85 757.666 1.95602 0.926715 
0.294 4.61 4.54 0.8697 0.8334 11.81 757.342 2.71336 0.415263 
0.295 0.92 0.85 0.7027 0.7585 11.82 757.018 3.47038 -0.322895 
0.296 -1.89 -1.96 0.8611 0.8561 11.85 756.694 4.22707 -0.884528 
0.297 -2.28 -2.35 0.7304 0.7881 11.86 756.371 4.98344 -0.963489 
0.298 -0.06 -0.11 0.8229 0.8516 11.85 756.047 5.73949 -0.517301 
0.299 3.56 3.54 0.8211 1.0282 11.86 755.724 0.21203 0.210445 
0.300 6.63 6.61 0.7665 0.8032 11.88 755.4 0.96743 0.82343 
0.301 7.47 7.42 0.7381 0.7732 11.86 755.077 1.72251 0.988514 
0.302 5.61 5.56 0.7951 0.7712 11.83 754.754 2.47726 0.616533 
0.303 2.07 2.03 0.7761 0.7847 11.82 754.431 3.23169 -0.0899771 
0.304 -1.23 -1.25 0.8442 0.8252 11.85 754.108 3.9858 -0.747445 
0.305 -2.49 -2.51 0.8247 0.8471 11.87 753.786 4.73959 -0.99963 
0.307 2.33 2.30 0.7704 0.7488 11.86 753.141 6.24619 -0.0369878 
0.308 5.79 5.77 0.7737 0.8201 11.87 752.818 0.715822 0.656238 
0.309 7.48 7.46 0.7810 0.7701 11.87 752.496 1.46832 0.994754 
0.310 6.49 6.47 0.7745 0.7989 11.84 752.174 2.22049 0.796267 
0.311 3.35 3.33 0.7401 0.7996 11.82 751.853 2.97235 0.16844 
0.312 -0.24 -0.26 0.8081 0.8409 11.84 751.531 3.72388 -0.549933 
0.313 -2.35 -2.37 0.8674 0.7935 11.85 751.209 4.47509 -0.971975 
0.314 -1.84 -1.86 0.8584 0.8597 11.86 750.888 5.22597 -0.870989 
0.315 1.00 0.98 0.7824 0.8720 11.86 750.567 5.97654 -0.301862 
0.316 4.66 4.63 0.7822 0.8381 11.87 750.245 0.4436 0.429194 
0.317 7.16 7.14 0.7842 0.7890 11.87 749.924 1.19352 0.929673 
0.318 7.17 7.15 0.7594 0.7997 11.86 749.604 1.94313 0.931481 
0.319 4.68 4.66 0.8030 0.7911 11.85 749.283 2.69241 0.434228 
0.320 1.03 1.01 0.8327 0.8443 11.84 748.962 3.44137 -0.295311 
0.321 -1.82 -1.84 0.7726 0.7800 11.87 748.642 4.19002 -0.866638 
0.322 -2.35 -2.40 0.8240 0.7865 11.87 748.322 4.93834 -0.974582 
0.323 -0.29 -0.33 0.8423 0.8428 11.87 748.001 5.68634 -0.562037 
0.324 3.27 3.23 0.7950 0.7655 11.88 747.681 0.150835 0.150263 
0.325 6.43 6.39 0.7914 0.7526 11.88 747.361 0.898196 0.782204 
0.326 7.50 7.47 0.7533 0.7590 11.87 747.042 1.64524 0.997231 
0.327 5.92 5.90 0.7916 0.7801 11.84 746.722 2.39196 0.68137 
0.329 -0.86 -0.91 0.7939 0.8260 11.85 746.083 3.88445 -0.676392 
0.330 -2.46 -2.51 0.8442 0.7274 11.86 745.764 4.63021 -0.996625 
0.331 -1.42 -1.46 0.7919 0.8704 11.87 745.445 5.37565 -0.787986 
0.332 1.72 1.67 0.8388 0.6981 11.86 745.126 6.12078 -0.161691 
0.333 5.27 5.22 0.7973 0.8407 11.87 744.807 0.582403 0.550032 
0.334 7.38 7.33 0.7547 0.6748 11.87 744.489 1.32689 0.970402 
0.335 6.91 6.86 0.7675 0.7927 11.84 744.17 2.07106 0.877455 
0.336 4.13 4.08 0.7751 0.7165 11.82 743.852 2.81491 0.3209 
0.337 0.50 0.45 0.8262 0.8164 11.83 743.533 3.55845 -0.404886 
0.338 -2.06 -2.11 0.8385 0.9072 11.85 743.215 4.30166 -0.916831 
0.339 -2.20 -2.25 0.7998 0.8764 11.86 742.897 5.04456 -0.945337 
0.340 0.14 0.10 0.8322 0.7143 11.86 742.579 5.78714 -0.475953 
0.341 3.76 3.68 0.7570 1.0004 11.87 742.262 0.246215 0.243734 
0.342 6.71 6.64 0.7593 0.6759 11.88 741.944 0.988159 0.835014 
0.343 7.47 7.40 0.7703 0.8214 11.86 741.627 1.72979 0.987388 
0.344 5.64 5.57 0.7617 0.6840 11.84 741.309 2.47109 0.621376 
0.345 2.20 2.10 0.7360 0.9701 11.83 740.992 3.21209 -0.0704357 
0.346 -1.07 -1.18 0.8044 0.7682 11.85 740.675 3.95276 -0.725093 
0.348 -1.20 -1.31 0.8466 0.8023 11.84 740.041 5.43316 -0.751296 
0.349 2.00 1.90 0.8113 0.7959 11.85 739.725 6.17289 -0.110076 
0.350 5.49 5.39 0.7703 0.7589 11.88 739.408 0.629109 0.588425 
0.351 7.45 7.34 0.7729 0.7476 11.88 739.092 1.3682 0.979548 
0.352 6.85 6.75 0.7516 0.8069 11.84 738.776 2.10698 0.859666 
0.353 4.01 3.91 0.7583 0.7855 11.81 738.46 2.84544 0.291846 
0.354 0.41 0.31 0.8182 0.7040 11.82 738.144 3.58358 -0.427737 
0.355 -2.07 -2.18 0.7976 0.8622 11.85 737.828 4.32141 -0.924536 
0.356 -2.15 -2.26 0.8662 0.7262 11.85 737.512 5.05892 -0.940557 
0.357 0.23 0.09 0.7850 0.8753 11.85 737.197 5.79612 -0.468038 
0.358 3.80 3.67 0.7922 0.8014 11.87 736.881 0.249812 0.247222 
0.359 6.74 6.60 0.7761 0.8129 11.88 736.566 0.986378 0.834033 
0.360 7.50 7.39 0.7511 0.6933 11.86 736.251 1.72263 0.988496 
0.361 5.71 5.60 0.7933 0.8032 11.83 735.936 2.45856 0.631145 
0.362 2.31 2.17 0.7986 0.8476 11.82 735.621 3.19419 -0.0525688 
0.363 -0.97 -1.11 0.7951 0.8563 11.84 735.306 3.92949 -0.708873 
0.365 -1.30 -1.44 0.7946 0.8787 11.86 734.677 5.39916 -0.773297 
0.366 1.82 1.69 0.8488 0.7657 11.86 734.363 6.13352 -0.149104 
0.367 5.33 5.19 0.7943 0.8264 11.87 734.049 0.584387 0.551688 
0.368 7.41 7.27 0.7551 0.7740 11.87 733.734 1.31812 0.968247 
0.369 7.00 6.86 0.7789 0.7991 11.85 733.421 2.05154 0.886651 
0.370 4.32 4.18 0.7865 0.7990 11.82 733.107 2.78465 0.349413 
0.371 0.73 0.59 0.8308 0.8339 11.83 732.793 3.51744 -0.367062 
0.372 -1.90 -2.04 0.8441 0.8137 11.86 732.48 4.24992 -0.894954 
0.373 -2.25 -2.39 0.8486 0.8461 11.86 732.166 4.98209 -0.963851 
0.374 -0.12 -0.27 0.8384 0.8337 11.86 731.853 5.71394 -0.538996 
0.375 3.38 3.24 0.8056 0.8182 11.87 731.54 0.162295 0.161583 
0.376 6.47 6.33 0.7711 0.7879 11.88 731.227 0.893521 0.779283 
0.377 7.56 7.42 0.7842 0.7851 11.87 730.914 1.62444 0.998562 
0.379 2.85 2.71 0.7632 0.8306 11.82 730.289 3.08533 0.0562377 
0.380 -0.55 -0.69 0.8441 0.7549 11.85 729.976 3.8153 -0.623889 
0.381 -2.36 -2.50 0.7959 0.8731 11.86 729.664 4.54497 -0.986017 
0.382 -1.66 -1.80 0.8770 0.7893 11.86 729.352 5.27432 -0.846229 
0.383 1.19 1.05 0.7718 0.8419 11.86 729.04 6.00336 -0.276191 
0.384 4.74 4.60 0.7970 0.7874 11.87 728.728 0.448899 0.433974 
0.385 7.18 7.06 0.8198 0.7858 11.88 728.416 1.17731 0.92358 
0.386 7.29 7.15 0.7614 0.7614 11.86 728.104 1.90542 0.944534 
0.387 5.01 4.86 0.7991 0.7905 11.83 727.793 2.63321 0.486763 
0.388 1.49 1.34 0.8164 0.7327 11.83 727.481 3.36069 -0.217352 
0.389 -1.50 -1.62 0.8929 0.8518 11.85 727.17 4.08786 -0.811241 
0.390 -2.40 -2.55 0.7714 0.7834 11.87 726.859 4.81472 -0.994769 
0.391 -0.82 -0.94 0.8707 0.8621 11.86 726.548 5.54127 -0.675701 
0.393 5.82 5.70 0.7983 0.7860 11.88 725.926 0.710249 0.652022 
0.394 7.51 7.39 0.7638 0.7499 11.87 725.616 1.43586 0.99091 
0.395 6.73 6.58 0.7826 0.7760 11.85 725.305 2.16117 0.830733 
0.396 3.84 3.69 0.7812 0.7914 11.83 724.995 2.88616 0.25266 
0.397 0.31 0.16 0.7956 0.8094 11.84 724.685 3.61085 -0.452223 
0.398 -2.09 -2.21 0.8220 0.8226 11.86 724.375 4.33522 -0.929713 
0.399 -2.14 -2.26 0.8824 0.8420 11.86 724.065 5.05929 -0.940431 
0.400 0.16 0.04 0.7758 0.8370 11.86 723.755 5.78304 -0.47955 
0.401 3.67 3.54 0.8481 0.7992 11.87 723.445 0.223304 0.221453 
0.402 6.61 6.51 0.6870 0.6444 11.88 723.136 0.94644 0.811339 
0.403 7.54 7.41 0.8339 0.7805 11.86 722.826 1.66927 0.995156 
0.404 5.94 5.87 0.9064 0.6414 11.83 722.517 2.39178 0.681499 
0.406 -0.66 -0.73 0.7160 0.7196 11.84 721.899 3.83589 -0.639846 
0.407 -2.40 -2.48 0.8329 0.8260 11.86 721.59 4.55748 -0.988026 
0.408 -1.68 -1.75 0.8888 0.7409 11.86 721.281 5.27876 -0.843853 
0.409 1.15 1.05 0.8772 0.8142 11.86 720.973 5.99973 -0.27967 
0.410 4.67 4.57 0.7020 0.7716 11.87 720.664 0.437214 0.423417 
0.411 7.12 7.04 0.8007 0.7560 11.87 720.356 1.15757 0.91583 
0.412 7.30 7.23 0.6644 0.6371 11.85 720.048 1.87762 0.953298 
0.413 5.12 5.05 0.8668 0.8403 11.83 719.74 2.59736 0.517764 
0.414 1.67 1.59 0.7031 0.6997 11.82 719.432 3.31679 -0.174302 
0.415 -1.36 -1.44 0.8635 0.8444 11.85 719.124 4.03591 -0.779784 
0.416 -2.46 -2.53 0.7321 0.7303 11.86 718.816 4.75473 -0.999104 
0.418 2.08 2.00 0.8304 0.7303 11.86 718.201 6.19144 -0.0916175 
0.419 5.47 5.39 0.7989 0.8008 11.87 717.894 0.626148 0.586028 
0.420 7.41 7.33 0.7336 0.7158 11.87 717.587 1.34373 0.974332 
0.421 6.95 6.87 0.7866 0.7322 11.85 717.28 2.06101 0.88223 
0.422 4.32 4.24 0.7633 0.7520 11.82 716.973 2.77799 0.355646 
0.423 0.81 0.73 0.8389 0.7850 11.83 716.666 3.49465 -0.345772 
0.424 -1.85 -1.92 0.7863 0.8433 11.86 716.36 4.21101 -0.876922 
0.425 -2.35 -2.42 0.8851 0.8318 11.86 716.053 4.92707 -0.977045 
0.426 -0.45 -0.52 0.7420 0.6918 11.85 715.747 5.64281 -0.597494 
0.427 2.91 2.84 0.8584 0.8209 11.86 715.44 0.0750682 0.0749977 
0.428 6.09 6.01 0.6871 0.6522 11.88 715.134 0.790203 0.710496 
0.430 6.52 6.45 0.6557 0.6651 11.84 714.523 2.21955 0.796835 
0.431 3.57 3.49 0.8093 0.8005 11.82 714.217 2.93377 0.20633 
0.432 0.11 0.04 0.8492 0.7282 11.84 713.911 3.64768 -0.48476 
0.433 -2.16 -2.23 0.8813 0.8228 11.86 713.606 4.36129 -0.938994 
0.434 -2.14 -2.21 0.7591 0.8972 11.86 713.3 5.07459 -0.93512 
0.435 0.15 0.10 0.8328 0.8500 11.86 712.995 5.78758 -0.475561 
0.436 3.61 3.54 0.7082 0.6760 11.87 712.69 0.217088 0.215387 
0.437 6.54 6.47 0.7913 0.8519 11.88 712.385 0.929474 0.801305 
0.438 7.53 7.45 0.6581 0.6556 11.87 712.081 1.64155 0.997498 
0.440 2.92 2.85 0.6839 0.6936 11.83 711.471 3.0648 0.076716 
0.441 -0.42 -0.50 0.7953 0.8154 11.84 711.167 3.77597 -0.592675 
0.442 -2.33 -2.41 0.8493 0.7703 11.86 710.863 4.48683 -0.974669 
0.443 -1.90 -1.95 0.8550 0.8433 11.86 710.558 5.19739 -0.884675 
0.444 0.69 0.64 0.8366 0.7743 11.85 710.254 5.90764 -0.366777 
0.445 4.17 4.12 0.7791 0.7602 11.87 709.951 0.334408 0.32821 
0.446 6.86 6.78 0.7409 0.7276 11.88 709.647 1.04406 0.86445 
0.447 7.46 7.38 0.8005 0.7308 11.86 709.343 1.7534 0.983375 
0.448 5.68 5.60 0.7236 0.8004 11.83 709.04 2.46244 0.628135 
0.449 2.39 2.31 0.8453 0.7948 11.83 708.736 3.17117 -0.0295776 
0.451 -2.44 -2.49 0.8730 0.8662 11.86 708.13 4.58774 -0.992241 
0.452 -1.65 -1.70 0.8007 0.7153 11.86 707.827 5.29556 -0.834718 
0.453 1.14 1.09 0.8569 0.8672 11.85 707.524 6.00309 -0.276448 
0.454 4.60 4.55 0.7927 0.6845 11.87 707.221 0.427125 0.414256 
0.455 7.05 7.00 0.7589 0.7903 11.87 706.919 1.13404 0.90613 
0.456 7.34 7.29 0.7844 0.6855 11.85 706.616 1.84066 0.963807 
0.457 5.33 5.28 0.7814 0.8016 11.83 706.314 2.54697 0.560193 
0.458 1.97 1.92 0.7791 0.8729 11.83 706.012 3.25299 -0.111163 
0.459 -1.12 -1.17 0.8393 0.8501 11.85 705.71 3.9587 -0.729167 
0.461 -1.43 -1.48 0.8725 0.8841 11.85 705.106 5.36921 -0.791938 
0.462 1.49 1.44 0.7688 0.7035 11.85 704.804 6.07401 -0.20765 
0.463 4.90 4.85 0.7839 0.8195 11.87 704.503 0.495331 0.475323 
0.464 7.18 7.13 0.7792 0.6714 11.88 704.201 1.19953 0.93187 
0.465 7.25 7.20 0.7617 0.7950 11.85 703.9 1.90343 0.945185 
0.466 5.07 5.02 0.7967 0.7146 11.83 703.599 2.60703 0.509463 
0.467 1.69 1.64 0.8121 0.7978 11.83 703.298 3.31033 -0.167937 
0.468 -1.30 -1.35 0.8251 0.7880 11.85 702.997 4.01333 -0.765446 
0.469 -2.47 -2.52 0.8448 0.8184 11.87 702.696 4.71602 -0.999993 
0.471 1.72 1.67 0.8427 0.7995 11.86 702.095 6.12051 -0.161955 
0.472 5.09 5.04 0.7781 0.8262 11.88 701.795 0.539123 0.513383 
0.473 7.25 7.20 0.7567 0.7533 11.88 701.494 1.24062 0.945984 
0.474 7.18 7.13 0.7780 0.6486 11.85 701.194 1.94181 0.93196 
0.475 4.92 4.87 0.7757 0.8313 11.84 700.894 2.64271 0.478449 
0.476 1.52 1.47 0.7552 0.6887 11.84 700.594 3.3433 -0.200342 
0.477 -1.40 -1.45 0.8551 0.8669 11.86 700.295 4.04359 -0.78457 
0.478 -2.47 -2.52 0.7890 0.7473 11.87 699.995 4.74359 -0.999513 
0.480 1.81 1.79 0.8666 0.7339 11.86 699.396 6.14268 -0.140042 
0.481 5.17 5.12 0.7809 0.8089 11.88 699.097 0.558592 0.529993 
0.482 7.28 7.23 0.7765 0.8264 11.87 698.798 1.25739 0.951289 
0.483 7.16 7.11 0.7565 0.7534 11.85 698.499 1.95589 0.926764 
0.484 4.87 4.82 0.7955 0.6564 11.83 698.2 2.65409 0.468422 
0.485 1.48 1.43 0.8422 0.8790 11.83 697.901 3.35199 -0.208849 
0.486 -1.42 -1.47 0.7819 0.7312 11.85 697.603 4.04959 -0.788275 
0.487 -2.47 -2.52 0.8614 0.8717 11.87 697.304 4.7469 -0.999405 
0.489 1.81 1.76 0.8250 0.8249 11.86 696.708 6.14061 -0.142092 
0.490 5.14 5.12 0.8006 0.7086 11.87 696.409 0.553835 0.525952 
0.491 7.27 7.22 0.7567 0.7860 11.87 696.111 1.24995 0.948968 
0.492 7.18 7.13 0.7786 0.7162 11.85 695.814 1.94576 0.930521 
0.493 4.92 4.87 0.7747 0.7576 11.84 695.516 2.64128 0.479704 
0.494 1.56 1.51 0.7971 0.7857 11.84 695.218 3.33649 -0.19367 
0.495 -1.36 -1.41 0.8356 0.8139 11.86 694.921 4.03141 -0.77696 
0.496 -2.49 -2.51 0.8832 0.8659 11.87 694.624 4.72604 -0.999907 
0.498 1.66 1.66 0.8540 0.9135 11.86 694.029 6.11439 -0.167991 
0.499 5.02 4.99 0.7116 0.8770 11.87 693.732 0.524941 0.501162 
0.500 7.19 7.19 0.8519 0.6503 11.87 693.436 1.21838 0.93854 
0.501 7.22 7.20 0.7558 0.8368 11.85 693.139 1.91152 0.942515 
0.502 5.07 5.05 0.7867 0.6872 11.83 692.842 2.60436 0.511762 
0.503 1.74 1.72 0.7943 0.8278 11.84 692.546 3.2969 -0.154687 
