%% logfile from robot Tania (57)
% Tania (57)
%  1    time 0.010 sec
%  2  3 Motor voltage [V] left, right: 4.75 4.75
%  4  5 Wheel velocity [m/s] left, right: 0.0000 -0.0000
%  6    Battery voltage [V]: 11.90
%  7  9 Chirp frequency =1256.1 rad/s, phase=1.2561 rad, value=0.95089
0.078 -4.86 -4.83 0.0000 -0.0000 11.90 1219.53 4.95937 -0.969655 
0.079 -0.54 -0.51 0.0000 -0.0000 11.89 1219.01 6.17838 -0.104617 
0.080 4.47 4.50 0.0000 -0.0000 11.90 1218.49 1.11368 0.897327 
0.081 3.61 3.64 0.0000 -0.0000 11.90 1217.96 2.33164 0.724254 
0.082 -2.00 -1.97 0.0000 -0.0000 11.89 1217.44 3.54908 -0.396306 
0.083 -5.01 -4.98 0.0000 -0.0000 11.91 1216.92 4.766 -0.998563 
0.084 -1.50 -1.47 0.0000 -0.0000 11.89 1216.4 5.9824 -0.296268 
0.085 3.95 3.98 0.0000 -0.0000 11.90 1215.88 0.915097 0.792622 
0.086 4.22 4.25 0.0000 -0.0000 11.90 1215.36 2.13046 0.847436 
0.087 -1.03 -1.00 0.0000 -0.0000 11.90 1214.84 3.34529 -0.202296 
0.088 -4.96 -4.93 0.0000 -0.0000 11.90 1214.32 4.55961 -0.988352 
0.089 -2.46 -2.42 0.0000 -0.0000 11.91 1213.8 5.77341 -0.48798 
0.090 3.22 3.25 0.0000 -0.0000 11.90 1213.28 0.703504 0.646894 
0.091 4.69 4.72 0.0000 -0.0000 11.91 1212.76 1.91626 0.940917 
0.092 0.05 0.08 0.0000 -0.0000 11.90 1212.24 3.1285 0.0130885 
0.093 -4.67 -4.64 0.0000 -0.0000 11.90 1211.72 4.34023 -0.931543 
0.094 -3.36 -3.33 0.0000 -0.0000 11.90 1211.2 5.55143 -0.668178 
0.095 2.29 2.32 0.0000 -0.0000 11.90 1210.68 0.478926 0.460827 
0.096 4.95 4.98 0.0000 -0.0000 11.91 1210.17 1.68909 0.993011 
0.097 1.19 1.22 0.0000 -0.0000 11.90 1209.65 2.89874 0.240473 
0.098 -4.13 -4.10 0.0000 -0.0000 11.90 1209.13 4.10787 -0.822775 
0.099 -4.13 -4.10 0.0000 -0.0000 11.90 1208.61 5.31648 -0.823018 
0.100 1.18 1.21 0.0000 -0.0000 11.88 1208.09 0.24139 0.239053 
0.101 4.95 4.98 0.0000 -0.0000 11.90 1207.58 1.44897 0.992588 
0.102 2.32 2.35 0.0000 -0.0000 11.90 1207.06 2.65603 0.466708 
0.103 -3.32 -3.28 0.0000 -0.0000 11.90 1206.54 3.86257 -0.66012 
0.104 -4.70 -4.67 0.0000 -0.0000 11.91 1206.03 5.0686 -0.937225 
0.106 4.64 4.67 0.0000 -0.0000 11.90 1204.99 1.19592 0.930552 
0.107 3.36 3.39 0.0000 -0.0000 11.90 1204.48 2.4004 0.67517 
0.108 -2.25 -2.21 0.0000 -0.0000 11.89 1203.96 3.60436 -0.446427 
0.109 -4.99 -4.96 0.0000 -0.0000 11.91 1203.45 4.80781 -0.995451 
0.110 -1.36 -1.33 0.0000 -0.0000 11.90 1202.93 6.01074 -0.269087 
0.111 3.99 4.02 0.0000 -0.0000 11.91 1202.42 0.929973 0.801604 
0.112 4.22 4.25 0.0000 -0.0000 11.91 1201.9 2.13188 0.846681 
0.113 -0.97 -0.94 0.0000 -0.0000 11.89 1201.39 3.33326 -0.1905 
0.114 -4.94 -4.90 0.0000 -0.0000 11.90 1200.87 4.53414 -0.984155 
0.115 -2.64 -2.58 0.0060 -0.0000 11.91 1200.36 5.7345 -0.521568 
0.116 3.00 3.06 0.0060 -0.0000 11.90 1199.85 0.651158 0.606108 
0.117 4.78 4.84 0.0060 -0.0000 11.91 1199.33 1.85049 0.96114 
0.118 0.43 0.49 0.0060 -0.0000 11.89 1198.82 3.04931 0.0921525 
0.119 -4.50 -4.44 0.0060 -0.0000 11.90 1198.31 4.24761 -0.893923 
0.120 -3.75 -3.68 0.0060 -0.0000 11.91 1197.79 5.44541 -0.743158 
0.121 1.73 1.79 0.0060 -0.0000 11.90 1197.28 0.359502 0.351808 
0.122 4.97 5.03 0.0060 -0.0000 11.90 1196.77 1.55627 0.999894 
0.123 1.86 1.93 0.0060 -0.0000 11.89 1196.25 2.75252 0.379327 
0.124 -3.64 -3.58 0.0060 -0.0000 11.90 1195.74 3.94827 -0.721989 
0.125 -4.57 -4.51 0.0060 -0.0000 11.90 1195.23 5.1435 -0.908503 
0.126 0.24 0.31 0.0060 -0.0000 11.89 1194.72 0.0550305 0.0550027 
0.128 3.18 3.25 0.0060 -0.0000 11.90 1193.7 2.44293 0.643191 
0.129 -2.40 -2.34 0.0060 -0.0000 11.89 1193.19 3.63612 -0.474616 
0.130 -5.00 -4.93 0.0060 -0.0000 11.90 1192.67 4.82879 -0.993233 
0.131 -1.33 -1.26 0.0060 -0.0000 11.89 1192.16 6.02096 -0.259232 
0.132 3.97 4.04 0.0060 -0.0000 11.90 1191.65 0.929427 0.801277 
0.133 4.23 4.29 0.0060 -0.0000 11.90 1191.14 2.12057 0.852643 
0.134 -0.88 -0.81 0.0060 -0.0000 11.89 1190.63 3.3112 -0.168799 
0.135 -4.92 -4.86 0.0060 -0.0000 11.90 1190.12 4.50133 -0.977809 
0.136 -2.82 -2.76 0.0060 -0.0000 11.90 1189.61 5.69094 -0.558224 
0.137 2.78 2.84 0.0060 -0.0000 11.89 1189.1 0.596861 0.562049 
0.138 4.85 4.92 0.0060 -0.0000 11.90 1188.6 1.78546 0.977049 
0.139 0.80 0.87 0.0060 -0.0000 11.90 1188.09 2.97354 0.167259 
0.140 -4.29 -4.23 0.0060 -0.0000 11.90 1187.58 4.16112 -0.851862 
0.141 -4.06 -3.99 0.0060 -0.0000 11.91 1187.07 5.34819 -0.804595 
0.142 1.21 1.28 0.0060 -0.0000 11.89 1186.56 0.251568 0.248923 
0.143 4.92 4.99 0.0060 -0.0000 11.90 1186.05 1.43762 0.991145 
0.144 2.44 2.51 0.0060 -0.0000 11.89 1185.55 2.62317 0.495512 
0.145 -3.12 -3.06 0.0060 -0.0000 11.89 1185.04 3.80821 -0.618328 
0.147 -0.56 -0.50 0.0060 -0.0000 11.89 1184.02 6.17676 -0.106223 
0.148 4.37 4.44 0.0060 -0.0000 11.89 1183.52 1.07709 0.880584 
0.149 3.82 3.89 0.0060 -0.0000 11.90 1183.01 2.2601 0.771687 
0.150 -1.52 -1.45 0.0060 -0.0000 11.89 1182.5 3.44261 -0.29649 
0.151 -5.01 -4.95 0.0060 -0.0000 11.90 1182 4.62461 -0.996149 
0.152 -2.33 -2.26 0.0060 -0.0000 11.89 1181.49 5.8061 -0.459195 
0.153 3.20 3.27 0.0060 -0.0000 11.89 1180.99 0.703898 0.647194 
0.154 4.72 4.79 0.0060 -0.0000 11.90 1180.48 1.88438 0.951235 
0.155 0.35 0.42 0.0060 -0.0000 11.90 1179.97 3.06435 0.0771629 
0.156 -4.50 -4.43 0.0060 -0.0000 11.90 1179.47 4.24382 -0.892217 
0.157 -3.84 -3.74 0.0096 -0.0000 11.90 1178.96 5.42279 -0.758102 
0.158 1.51 1.61 0.0096 -0.0000 11.89 1178.46 0.318062 0.312726 
0.159 4.94 5.03 0.0096 -0.0000 11.91 1177.96 1.49602 0.997205 
0.160 2.21 2.30 0.0096 -0.0000 11.90 1177.45 2.67347 0.451213 
0.161 -3.30 -3.21 0.0096 -0.0000 11.89 1176.95 3.85042 -0.650941 
0.162 -4.80 -4.71 0.0096 -0.0000 11.90 1176.44 5.02686 -0.95096 
0.164 4.39 4.49 0.0096 -0.0000 11.90 1175.44 1.09505 0.888951 
0.165 3.78 3.88 0.0096 -0.0000 11.90 1174.93 2.26998 0.765366 
0.166 -1.54 -1.44 0.0096 -0.0000 11.90 1174.43 3.44441 -0.298213 
0.167 -5.03 -4.93 0.0096 -0.0000 11.91 1173.93 4.61834 -0.995581 
0.168 -2.41 -2.31 0.0096 -0.0000 11.90 1173.42 5.79176 -0.471879 
0.169 3.10 3.20 0.0096 -0.0000 11.89 1172.92 0.681501 0.62996 
0.170 4.75 4.85 0.0096 -0.0000 11.90 1172.42 1.85392 0.960187 
0.171 0.53 0.63 0.0096 -0.0000 11.89 1171.92 3.02584 0.115495 
0.172 -4.40 -4.30 0.0096 -0.0000 11.90 1171.42 4.19726 -0.870227 
0.173 -4.01 -3.91 0.0096 -0.0000 11.89 1170.92 5.36817 -0.792571 
0.174 1.21 1.31 0.0096 -0.0000 11.89 1170.41 0.255399 0.252632 
0.175 4.90 5.00 0.0096 -0.0000 11.90 1169.91 1.42531 0.989436 
0.176 2.55 2.65 0.0096 -0.0000 11.89 1169.41 2.59472 0.520015 
0.178 -4.93 -4.83 0.0096 -0.0000 11.90 1168.41 4.93205 -0.975972 
0.179 -0.96 -0.86 0.0096 -0.0000 11.89 1167.91 6.09996 -0.182206 
0.180 4.11 4.22 0.0096 -0.0000 11.89 1167.41 0.984181 0.832819 
0.181 4.13 4.23 0.0096 -0.0000 11.91 1166.91 2.15109 0.836301 
0.182 -0.93 -0.82 0.0096 -0.0000 11.89 1166.41 3.3175 -0.175004 
0.183 -4.92 -4.82 0.0096 -0.0000 11.90 1165.91 4.48341 -0.9739 
0.184 -3.02 -2.91 0.0096 -0.0000 11.90 1165.41 5.64883 -0.59266 
0.185 2.48 2.58 0.0096 -0.0000 11.90 1164.91 0.530556 0.506013 
0.186 4.91 5.01 0.0096 -0.0000 11.91 1164.42 1.69497 0.9923 
0.187 1.34 1.45 0.0096 -0.0000 11.90 1163.92 2.85889 0.278955 
0.188 -3.91 -3.80 0.0096 -0.0000 11.90 1163.42 4.02231 -0.771193 
0.189 -4.50 -4.40 0.0096 -0.0000 11.89 1162.92 5.18523 -0.89028 
0.190 0.27 0.38 0.0096 -0.0000 11.88 1162.42 0.0644624 0.0644177 
0.192 3.37 3.48 0.0096 -0.0000 11.90 1161.43 2.38781 0.684399 
0.193 -2.03 -1.93 0.0096 -0.0000 11.89 1160.93 3.54874 -0.395995 
0.194 -5.05 -4.95 0.0096 -0.0000 11.90 1160.43 4.70918 -0.999995 
0.195 -2.07 -1.96 0.0096 -0.0000 11.89 1159.94 5.86911 -0.402341 
0.196 3.34 3.44 0.0096 -0.0000 11.89 1159.44 0.745367 0.678242 
0.197 4.67 4.78 0.0096 -0.0000 11.90 1158.94 1.90431 0.944898 
0.198 0.34 0.45 0.0096 -0.0000 11.89 1158.45 3.06276 0.0787535 
0.199 -4.46 -4.35 0.0095 -0.0000 11.90 1157.95 4.22071 -0.881541 
0.200 -3.99 -3.88 0.0093 -0.0000 11.90 1157.46 5.37816 -0.786438 
0.201 1.19 1.30 0.0091 -0.0000 11.89 1156.96 0.251939 0.249282 
0.202 4.88 4.99 0.0089 -0.0000 11.90 1156.46 1.4084 0.986843 
0.203 2.67 2.78 0.0087 -0.0000 11.90 1155.97 2.56437 0.545696 
0.205 -4.99 -4.88 0.0083 -0.0000 11.92 1154.98 4.87483 -0.986836 
0.206 -1.31 -1.20 0.0081 -0.0000 11.90 1154.49 6.02931 -0.251154 
0.207 3.86 3.97 0.0080 -0.0000 11.90 1153.99 0.900119 0.783401 
0.208 4.37 4.48 0.0078 -0.0000 11.91 1153.5 2.05362 0.885689 
0.209 -0.38 -0.27 0.0077 -0.0000 11.89 1153 3.20662 -0.0649813 
0.210 -4.75 -4.63 0.0075 -0.0000 11.91 1152.51 4.35913 -0.93825 
0.211 -3.54 -3.43 0.0074 -0.0000 11.91 1152.02 5.51115 -0.697598 
0.212 1.79 1.91 0.0073 -0.0000 11.89 1151.52 0.379483 0.370441 
0.213 4.94 5.05 0.0071 -0.0000 11.90 1151.03 1.53051 0.999189 
0.214 2.16 2.28 0.0070 -0.0000 11.89 1150.54 2.68105 0.444434 
0.215 -3.24 -3.12 0.0069 -0.0000 11.90 1150.04 3.8311 -0.636154 
0.217 -0.82 -0.71 0.0067 -0.0000 11.89 1149.06 6.12971 -0.152875 
0.218 4.13 4.25 0.0065 -0.0000 11.90 1148.57 0.995091 0.838809 
0.219 4.14 4.26 0.0064 -0.0000 11.90 1148.08 2.14317 0.840619 
0.220 -0.80 -0.68 0.0063 -0.0000 11.89 1147.59 3.29075 -0.148608 
0.221 -4.87 -4.75 0.0062 -0.0000 11.90 1147.09 4.43785 -0.962549 
0.222 -3.27 -3.16 0.0061 -0.0000 11.90 1146.6 5.58445 -0.64325 
0.223 2.10 2.22 0.0061 -0.0000 11.89 1146.11 0.447376 0.432602 
0.224 4.94 5.06 0.0060 -0.0000 11.90 1145.62 1.593 0.999754 
0.225 1.90 2.02 0.0059 -0.0000 11.89 1145.13 2.73813 0.392607 
0.226 -3.44 -3.32 0.0058 -0.0000 11.90 1144.64 3.88277 -0.675156 
0.227 -4.81 -4.70 0.0057 -0.0000 11.91 1144.15 5.02692 -0.950942 
0.229 4.23 4.35 0.0056 -0.0000 11.89 1143.17 1.03057 0.85759 
0.230 4.06 4.18 0.0055 -0.0000 11.90 1142.68 2.17325 0.823949 
0.231 -0.93 -0.80 0.0054 -0.0000 11.89 1142.19 3.31544 -0.172973 
0.232 -4.90 -4.78 0.0053 -0.0000 11.89 1141.7 4.45714 -0.967601 
0.233 -3.22 -3.10 0.0053 -0.0000 11.89 1141.21 5.59836 -0.632539 
0.234 2.14 2.26 0.0052 -0.0000 11.89 1140.73 0.455899 0.44027 
0.235 4.94 5.06 0.0051 -0.0000 11.91 1140.24 1.59614 0.999679 
0.236 1.91 2.03 0.0051 -0.0000 11.89 1139.75 2.73589 0.394667 
0.237 -3.41 -3.29 0.0050 -0.0000 11.90 1139.26 3.87515 -0.669515 
0.239 -0.71 -0.59 0.0049 -0.0000 11.89 1138.29 6.15221 -0.130602 
0.240 4.16 4.29 0.0048 -0.0000 11.91 1137.8 1.00682 0.845138 
0.241 4.14 4.26 0.0048 -0.0000 11.91 1137.31 2.14414 0.840095 
