% Edge sensor logfile normalized 'log_20240214_130156.701/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1707912116.8246 0 0 0 0 0 0 0 0  0.0000
1707912116.8320 0 0 0 0 0 0 0 0  0.0000
1707912116.8404 0 0 0 0 0 0 0 0  0.0000
1707912116.8484 0 0 0 0 0 0 0 0  0.0000
1707912116.8571 0 0 0 0 0 0 0 0  0.0000
1707912116.8645 0 0 0 0 0 0 0 0  0.0000
1707912116.8724 0 0 0 0 0 0 0 0  0.0000
1707912116.8804 0 0 0 0 0 0 0 0  0.0000
1707912116.8890 0 0 0 0 0 0 0 0  0.0000
1707912116.8962 0 0 0 0 0 0 0 0  0.0000
1707912116.9047 0 0 0 0 0 0 0 0  0.0000
1707912116.9122 0 0 0 0 0 0 0 0  0.0000
1707912116.9206 0 0 0 0 0 0 0 0  0.0000
1707912116.9285 0 0 0 0 0 0 0 0  0.0000
1707912116.9362 0 0 0 0 0 0 0 0  0.0000
1707912116.9443 0 0 0 0 0 0 0 0  0.0000
1707912116.9528 0 0 0 0 0 0 0 0  0.0000
1707912116.9604 0 0 0 0 0 0 0 0  0.0000
1707912116.9687 0 0 0 0 0 0 0 0  0.0000
1707912116.9763 0 0 0 0 0 0 0 0  0.0000
