% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1708089594.9163 0 0 0 0
1708089594.9236 0 4294967295 0 -1
1708089594.9319 0 4294967295 0 0
1708089594.9396 0 4294967295 0 0
1708089594.9472 0 4294967295 0 0
1708089594.9552 0 4294967295 0 0
1708089594.9638 0 4294967295 0 0
1708089594.9720 0 4294967295 0 0
1708089594.9800 0 4294967295 0 0
1708089594.9875 0 4294967295 0 0
1708089594.9961 0 4294967295 0 0
1708089595.0041 0 4294967295 0 0
1708089595.0116 0 4294967295 0 0
1708089595.0195 0 4294967295 0 0
1708089595.0279 0 4294967295 0 0
1708089595.0355 0 4294967295 0 0
1708089595.0432 0 4294967295 0 0
1708089595.0514 0 4294967295 0 0
1708089595.0601 0 4294967295 0 0
1708089595.0681 0 4294967295 0 0
1708089595.0765 0 4294967295 0 0
1708089595.0844 0 4294967295 0 0
1708089595.0922 0 4294967295 0 0
1708089595.1003 0 0 0 1
1708089595.1081 3 2 3 2
1708089595.1156 7 7 4 5
1708089595.1239 9 9 2 2
1708089595.1325 10 10 1 1
1708089595.1400 12 12 2 2
1708089595.1480 16 15 4 3
1708089595.1566 18 18 2 3
1708089595.1641 23 22 5 4
1708089595.1722 27 26 4 4
1708089595.1805 32 30 5 4
1708089595.1877 37 36 5 6
1708089595.1959 43 41 6 5
1708089595.2043 48 46 5 5
1708089595.2116 54 52 6 6
1708089595.2205 60 59 6 7
1708089595.2281 67 65 7 6
1708089595.2358 74 72 7 7
1708089595.2442 80 79 6 7
1708089595.2518 87 86 7 7
1708089595.2604 95 94 8 8
1708089595.2686 103 100 8 6
1708089595.2765 111 106 8 6
1708089595.2842 118 114 7 8
1708089595.2916 125 122 7 8
1708089595.3006 131 129 6 7
1708089595.3083 138 135 7 6
1708089595.3164 147 141 9 6
1708089595.3245 154 149 7 8
1708089595.3326 160 158 6 9
1708089595.3396 167 165 7 7
1708089595.3479 174 171 7 6
1708089595.3561 181 178 7 7
1708089595.3641 189 186 8 8
1708089595.3725 196 193 7 7
1708089595.3798 202 199 6 6
1708089595.3876 209 206 7 7
1708089595.3958 216 213 7 7
1708089595.4039 223 220 7 7
1708089595.4120 230 226 7 6
1708089595.4201 237 232 7 6
1708089595.4276 244 240 7 8
1708089595.4365 250 247 6 7
1708089595.4437 257 253 7 6
1708089595.4518 264 260 7 7
1708089595.4596 270 267 6 7
1708089595.4680 276 273 6 6
1708089595.4763 283 279 7 6
1708089595.4840 290 286 7 7
1708089595.4921 297 294 7 8
1708089595.5002 304 301 7 7
1708089595.5080 311 307 7 6
1708089595.5164 318 313 7 6
1708089595.5236 324 320 6 7
1708089595.5325 332 327 8 7
1708089595.5396 338 334 6 7
1708089595.5477 345 340 7 6
1708089595.5558 352 346 7 6
1708089595.5639 359 354 7 8
1708089595.5723 366 361 7 7
1708089595.5802 372 368 6 7
1708089595.5884 379 374 7 6
1708089595.5965 387 381 8 7
1708089595.6045 393 389 6 8
1708089595.6116 399 396 6 7
1708089595.6198 406 402 7 6
1708089595.6277 413 408 7 6
1708089595.6358 420 416 7 8
1708089595.6440 426 424 6 8
1708089595.6519 432 430 6 6
1708089595.6600 440 436 8 6
1708089595.6681 447 443 7 7
1708089595.6761 454 451 7 8
1708089595.6842 459 458 5 7
1708089595.6926 465 463 6 5
1708089595.7003 473 469 8 6
1708089595.7085 480 476 7 7
1708089595.7166 485 484 5 8
1708089595.7245 491 492 6 8
1708089595.7316 498 497 7 5
1708089595.7399 506 503 8 6
1708089595.7477 512 510 6 7
1708089595.7558 518 518 6 8
1708089595.7639 525 524 7 6
1708089595.7718 532 530 7 6
1708089595.7800 539 536 7 6
1708089595.7883 545 545 6 9
1708089595.7960 553 553 8 8
1708089595.8042 560 559 7 6
1708089595.8122 565 565 5 6
1708089595.8200 572 571 7 6
1708089595.8285 581 579 9 8
1708089595.8357 588 585 7 6
1708089595.8445 593 591 5 6
1708089595.8516 598 597 5 6
1708089595.8597 605 606 7 9
1708089595.8686 613 612 8 6
1708089595.8761 621 618 8 6
1708089595.8842 627 625 6 7
1708089595.8919 632 632 5 7
1708089595.9001 638 638 6 6
1708089595.9081 647 644 9 6
1708089595.9164 655 651 8 7
1708089595.9236 660 659 5 8
1708089595.9317 666 665 6 6
1708089595.9406 674 671 8 6
1708089595.9476 682 677 8 6
1708089595.9558 688 686 6 9
1708089595.9638 693 692 5 6
1708089595.9722 700 698 7 6
1708089595.9803 708 705 8 7
1708089595.9880 716 712 8 7
1708089595.9961 722 718 6 6
1708089596.0042 727 724 5 6
1708089596.0123 734 731 7 7
1708089596.0205 742 739 8 8
1708089596.0277 750 747 8 8
1708089596.0365 755 752 5 5
1708089596.0437 760 757 5 5
1708089596.0518 766 765 6 8
1708089596.0599 774 773 8 8
1708089596.0686 783 779 9 6
1708089596.0765 790 785 7 6
1708089596.0846 796 791 6 6
1708089596.0925 802 799 6 8
