% Edge sensor logfile normalized 'log_20240216_141954.065/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1708089595.3361 0 0 0 0 0 0 0 0  0.0000
1708089595.3445 0 0 0 0 0 0 0 0  0.0000
1708089595.3523 0 0 0 0 0 0 0 0  0.0000
1708089595.3606 0 0 0 0 0 0 0 0  0.0000
1708089595.3678 0 0 0 0 0 0 0 0  0.0000
1708089595.3761 0 0 0 0 0 0 0 0  0.0000
1708089595.3842 0 0 0 0 0 0 0 0  0.0000
1708089595.3924 0 0 0 0 0 0 0 0  0.0000
1708089595.4002 0 0 0 0 0 0 0 0  0.0000
1708089595.4083 0 0 0 0 0 0 0 0  0.0000
1708089595.4157 0 0 0 0 0 0 0 0  0.0000
1708089595.4238 0 0 0 0 0 0 0 0  0.0000
1708089595.4320 0 0 0 0 0 0 0 0  0.0000
1708089595.4403 0 0 0 0 0 0 0 0  0.0000
1708089595.4481 0 0 0 0 0 0 0 0  0.0000
1708089595.4562 0 0 0 0 0 0 0 0  0.0000
1708089595.4644 0 0 0 0 0 0 0 0  0.0000
1708089595.4726 0 0 0 0 0 0 0 0  0.0000
1708089595.4806 0 0 0 0 0 0 0 0  0.0000
1708089595.4877 0 0 0 0 0 0 0 0  0.0000
1708089595.4965 0 0 0 0 0 0 0 0  0.0000
1708089595.5036 0 0 0 0 0 0 0 0  0.0000
1708089595.5119 0 0 0 0 0 0 0 0  0.0000
1708089595.5197 0 0 0 0 0 0 0 0  0.0000
1708089595.5280 0 0 0 0 0 0 0 0  0.0000
1708089595.5362 0 0 0 0 0 0 0 0  0.0000
1708089595.5440 0 0 0 0 0 0 0 0  0.0000
1708089595.5522 0 0 0 0 0 0 0 0  0.0000
1708089595.5606 0 0 0 0 0 0 0 0  0.0000
1708089595.5683 0 0 0 0 0 0 0 0  0.0000
1708089595.5757 0 0 0 0 0 0 0 0  0.0000
1708089595.5839 0 0 0 0 0 0 0 0  0.0000
1708089595.5917 0 0 0 0 0 0 0 0  0.0000
1708089595.5998 0 0 0 0 0 0 0 0  0.0000
1708089595.6082 0 0 0 0 0 0 0 0  0.0000
1708089595.6161 0 0 0 0 0 0 0 0  0.0000
1708089595.6244 0 0 0 0 0 0 0 0  0.0000
1708089595.6324 0 0 0 0 0 0 0 0  0.0000
1708089595.6402 0 0 0 0 0 0 0 0  0.0000
1708089595.6486 0 0 0 0 0 0 0 0  0.0000
1708089595.6556 0 0 0 0 0 0 0 0  0.0000
1708089595.6644 0 0 0 0 0 0 0 0  0.0000
1708089595.6716 0 0 0 0 0 0 0 0  0.0000
1708089595.6798 0 0 0 0 0 0 0 0  0.0000
1708089595.6886 0 0 0 0 0 0 0 0  0.0000
1708089595.6959 0 0 0 0 0 0 0 0  0.0000
1708089595.7041 0 0 0 0 0 0 0 0  0.0000
1708089595.7118 0 0 0 0 0 0 0 0  0.0000
1708089595.7200 0 0 0 0 0 0 0 0  0.0000
1708089595.7282 0 0 0 0 0 0 0 0  0.0000
1708089595.7362 0 0 0 0 0 0 0 0  0.0000
1708089595.7443 0 0 0 0 0 0 0 0  0.0000
1708089595.7524 0 0 0 0 0 0 0 0  0.0000
1708089595.7602 0 0 0 0 0 0 0 0  0.0000
1708089595.7683 0 0 0 0 0 0 0 0  0.0000
1708089595.7766 0 0 0 0 0 0 0 0  0.0000
1708089595.7846 0 0 0 0 0 0 0 0  0.0000
1708089595.7927 0 0 0 0 0 0 0 0  0.0000
1708089595.7997 0 0 0 0 0 0 0 0  0.0000
1708089595.8086 0 0 0 0 0 0 0 0  0.0000
1708089595.8166 0 0 0 0 0 0 0 0  0.0000
1708089595.8239 0 0 0 0 0 0 0 0  0.0000
1708089595.8319 0 0 0 0 0 0 0 0  0.0000
1708089595.8401 0 0 0 0 0 0 0 0  0.0000
1708089595.8483 0 0 0 0 0 0 0 0  0.0000
1708089595.8560 0 0 0 0 0 0 0 0  0.0000
1708089595.8641 0 0 0 0 0 0 0 0  0.0000
1708089595.8716 0 0 0 0 0 0 0 0  0.0000
1708089595.8805 0 0 0 0 0 0 0 0  0.0000
1708089595.8886 0 0 0 0 0 0 0 0  0.0000
1708089595.8956 0 0 0 0 0 0 0 0  0.0000
1708089595.9045 0 0 0 0 0 0 0 0  0.0000
1708089595.9117 0 0 0 0 0 0 0 0  0.0000
1708089595.9200 0 0 0 0 0 0 0 0  0.0000
1708089595.9280 0 0 0 0 0 0 0 0  0.0000
1708089595.9361 0 0 0 0 0 0 0 0  0.0000
1708089595.9443 0 0 0 0 0 0 0 0  0.0000
1708089595.9520 0 0 0 0 0 0 0 0  0.0000
1708089595.9602 0 0 0 0 0 0 0 0  0.0000
1708089595.9686 0 0 0 0 0 0 0 0  0.0000
1708089595.9766 0 0 0 0 0 0 0 0  0.0000
1708089595.9846 0 0 0 0 0 0 0 0  0.0000
1708089595.9917 0 0 0 0 0 0 0 0  0.0000
1708089596.0005 0 0 0 0 0 0 0 0  0.0000
1708089596.0079 0 0 0 0 0 0 0 0  0.0000
1708089596.0160 0 0 0 0 0 0 0 0  0.0000
1708089596.0239 0 0 0 0 0 0 0 0  0.0000
1708089596.0321 0 0 0 0 0 0 0 0  0.0000
1708089596.0403 0 0 0 0 0 0 0 0  0.0000
1708089596.0482 0 0 0 0 0 0 0 0  0.0000
1708089596.0563 0 0 0 0 0 0 0 0  0.0000
1708089596.0639 0 0 0 0 0 0 0 0  0.0000
1708089596.0724 0 0 0 0 0 0 0 0  0.0000
1708089596.0800 0 0 0 0 0 0 0 0  0.0000
1708089596.0879 0 0 0 0 0 0 0 0  0.0000
