% Edge sensor logfile normalized 'log_20240216_141954.065/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1708089594.9207 0 0 0 0 0 0 0 0  0.0000
1708089594.9273 0 0 0 0 0 0 0 0  0.0000
1708089594.9361 0 0 0 0 0 0 0 0  0.0000
1708089594.9442 0 0 0 0 0 0 0 0  0.0000
1708089594.9517 0 0 0 0 0 0 0 0  0.0000
1708089594.9603 0 0 0 0 0 0 0 0  0.0000
1708089594.9683 0 0 0 0 0 0 0 0  0.0000
1708089594.9765 0 0 0 0 0 0 0 0  0.0000
1708089594.9840 0 0 0 0 0 0 0 0  0.0000
1708089594.9920 0 0 0 0 0 0 0 0  0.0000
1708089595.0006 0 0 0 0 0 0 0 0  0.0000
1708089595.0081 0 0 0 0 0 0 0 0  0.0000
1708089595.0165 0 0 0 0 0 0 0 0  0.0000
1708089595.0243 0 0 0 0 0 0 0 0  0.0000
1708089595.0319 0 0 0 0 0 0 0 0  0.0000
1708089595.0400 0 0 0 0 0 0 0 0  0.0000
1708089595.0478 0 0 0 0 0 0 0 0  0.0000
1708089595.0566 0 0 0 0 0 0 0 0  0.0000
1708089595.0640 0 0 0 0 0 0 0 0  0.0000
1708089595.0719 0 0 0 0 0 0 0 0  0.0000
1708089595.0797 0 0 0 0 0 0 0 0  0.0000
1708089595.0879 0 0 0 0 0 0 0 0  0.0000
1708089595.0957 0 0 0 0 0 0 0 0  0.0000
1708089595.1043 0 0 0 0 0 0 0 0  0.0000
1708089595.1126 0 0 0 0 0 0 0 0  0.0000
1708089595.1201 0 0 0 0 0 0 0 0  0.0000
1708089595.1279 0 0 0 0 0 0 0 0  0.0000
1708089595.1359 0 0 0 0 0 0 0 0  0.0000
1708089595.1446 0 0 0 0 0 0 0 0  0.0000
1708089595.1521 0 0 0 0 0 0 0 0  0.0000
1708089595.1600 0 0 0 0 0 0 0 0  0.0000
1708089595.1685 0 0 0 0 0 0 0 0  0.0000
1708089595.1760 0 0 0 0 0 0 0 0  0.0000
1708089595.1839 0 0 0 0 0 0 0 0  0.0000
1708089595.1922 0 0 0 0 0 0 0 0  0.0000
1708089595.1998 0 0 0 0 0 0 0 0  0.0000
1708089595.2077 0 0 0 0 0 0 0 0  0.0000
1708089595.2160 0 0 0 0 0 0 0 0  0.0000
1708089595.2246 0 0 0 0 0 0 0 0  0.0000
1708089595.2317 0 0 0 0 0 0 0 0  0.0000
1708089595.2403 0 0 0 0 0 0 0 0  0.0000
1708089595.2483 0 0 0 0 0 0 0 0  0.0000
1708089595.2563 0 0 0 0 0 0 0 0  0.0000
1708089595.2639 0 0 0 0 0 0 0 0  0.0000
1708089595.2719 0 0 0 0 0 0 0 0  0.0000
1708089595.2800 0 0 0 0 0 0 0 0  0.0000
1708089595.2881 0 0 0 0 0 0 0 0  0.0000
1708089595.2959 0 0 0 0 0 0 0 0  0.0000
1708089595.3041 0 0 0 0 0 0 0 0  0.0000
1708089595.3118 0 0 0 0 0 0 0 0  0.0000
1708089595.3206 0 0 0 0 0 0 0 0  0.0000
1708089595.3280 0 0 0 0 0 0 0 0  0.0000
