% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1708087925.1546 0 0 0 0
1708087925.1618 0 0 0 0
1708087925.1700 4294967294 4294967294 -2 -2
1708087925.1777 4294967293 4294967293 -1 -1
1708087925.1854 4294967293 4294967293 0 0
1708087925.1935 4294967293 4294967293 0 0
1708087925.2020 4294967293 4294967293 0 0
1708087925.2103 4294967293 4294967293 0 0
1708087925.2183 4294967293 4294967293 0 0
1708087925.2268 4294967293 4294967293 0 0
1708087925.2343 4294967293 4294967293 0 0
1708087925.2424 4294967293 4294967293 0 0
1708087925.2509 4294967293 4294967293 0 0
1708087925.2588 4294967293 4294967293 0 0
1708087925.2661 4294967293 4294967293 0 0
1708087925.2747 4294967293 4294967293 0 0
1708087925.2824 4294967293 4294967293 0 0
1708087925.2909 4294967293 4294967293 0 0
1708087925.2991 4294967293 4294967293 0 0
1708087925.3068 4294967293 4294967293 0 0
1708087925.3142 4294967293 4294967293 0 0
1708087925.3229 4294967293 4294967293 0 0
1708087925.3306 4294967293 4294967293 0 0
1708087925.3387 4294967293 4294967293 0 0
1708087925.3467 4294967295 4294967294 2 1
1708087925.3542 5 4 6 6
1708087925.3627 12 11 7 7
1708087925.3703 19 18 7 7
1708087925.3779 22 21 3 3
1708087925.3860 26 25 4 4
1708087925.3940 33 32 7 7
1708087925.4023 41 40 8 8
1708087925.4103 48 47 7 7
1708087925.4185 55 54 7 7
1708087925.4267 63 62 8 8
1708087925.4347 73 72 10 10
1708087925.4428 83 82 10 10
1708087925.4508 92 91 9 9
1708087925.4586 102 101 10 10
1708087925.4668 113 111 11 10
1708087925.4749 124 122 11 11
1708087925.4828 135 133 11 11
1708087925.4899 148 146 13 13
1708087925.4980 160 158 12 12
1708087925.5068 172 170 12 12
1708087925.5140 185 182 13 12
1708087925.5220 198 195 13 13
1708087925.5300 210 207 12 12
1708087925.5382 222 220 12 13
1708087925.5462 234 231 12 11
1708087925.5540 246 243 12 12
1708087925.5622 259 255 13 12
1708087925.5705 271 268 12 13
1708087925.5783 282 280 11 12
1708087925.5863 294 292 12 12
1708087925.5944 306 304 12 12
1708087925.6022 318 316 12 12
1708087925.6105 329 328 11 12
1708087925.6189 341 339 12 11
1708087925.6266 353 351 12 12
1708087925.6347 366 363 13 12
1708087925.6428 377 374 11 11
1708087925.6505 387 385 10 11
1708087925.6581 399 398 12 13
1708087925.6664 411 409 12 11
1708087925.6742 423 419 12 10
1708087925.6822 433 430 10 11
1708087925.6903 444 443 11 13
1708087925.6981 455 454 11 11
1708087925.7064 467 464 12 10
1708087925.7147 480 476 13 12
1708087925.7225 490 488 10 12
1708087925.7307 500 500 10 12
1708087925.7388 512 510 12 10
1708087925.7466 524 520 12 10
1708087925.7549 535 531 11 11
1708087925.7621 546 544 11 13
1708087925.7699 558 556 12 12
1708087925.7780 569 566 11 10
1708087925.7861 579 576 10 10
1708087925.7941 590 587 11 11
1708087925.8022 603 600 13 13
1708087925.8105 613 611 10 11
1708087925.8183 623 622 10 11
1708087925.8263 635 633 12 11
1708087925.8344 649 644 14 11
1708087925.8424 660 656 11 12
1708087925.8505 670 667 10 11
1708087925.8585 680 678 10 11
1708087925.8665 693 689 13 11
1708087925.8746 705 701 12 12
1708087925.8826 715 712 10 11
1708087925.8906 725 723 10 11
1708087925.8987 737 734 12 11
1708087925.9068 750 746 13 12
1708087925.9151 760 758 10 12
1708087925.9224 770 768 10 10
1708087925.9309 781 779 11 11
1708087925.9387 793 790 12 11
1708087925.9469 806 803 13 13
1708087925.9540 817 813 11 10
1708087925.9620 827 824 10 11
1708087925.9704 837 835 10 11
1708087925.9787 847 847 10 12
1708087925.9865 860 860 13 13
1708087925.9948 874 871 14 11
1708087926.0029 885 881 11 10
1708087926.0109 894 893 9 12
1708087926.0183 905 905 11 12
1708087926.0264 917 917 12 12
1708087926.0342 929 927 12 10
1708087926.0423 939 937 10 10
1708087926.0605 950 950 11 13
1708087926.0608 962 963 12 13
1708087926.0683 975 977 13 14
1708087926.0747 986 987 11 10
1708087926.0820 989 989 3 2
1708087926.0902 987 986 -2 -3
1708087926.0986 984 984 -3 -2
1708087926.1065 985 982 1 -2
1708087926.1146 988 983 3 1
1708087926.1220 991 985 3 2
1708087926.1301 993 986 2 1
1708087926.1386 995 988 2 2
1708087926.1461 998 992 3 4
1708087926.1548 1005 998 7 6
1708087926.1625 1013 1004 8 6
