% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1708089353.6159 0 0 0 0
1708089353.6235 0 0 0 0
1708089353.6313 0 0 0 0
1708089353.6393 1 1 1 1
1708089353.6475 3 3 2 2
1708089353.6555 5 5 2 2
1708089353.6635 7 7 2 2
1708089353.6710 9 9 2 2
1708089353.6791 12 13 3 4
1708089353.6872 16 16 4 3
1708089353.6954 19 20 3 4
1708089353.7031 23 24 4 4
1708089353.7113 28 29 5 5
1708089353.7195 33 34 5 5
1708089353.7275 39 40 6 6
1708089353.7355 45 47 6 7
1708089353.7436 52 53 7 6
1708089353.7514 59 60 7 7
1708089353.7597 66 67 7 7
1708089353.7678 73 74 7 7
1708089353.7757 80 81 7 7
1708089353.7838 87 88 7 7
1708089353.7919 95 96 8 8
1708089353.7996 103 104 8 8
1708089353.8079 110 110 7 6
1708089353.8160 118 117 8 7
1708089353.8239 126 124 8 7
1708089353.8321 133 132 7 8
1708089353.8402 140 139 7 7
1708089353.8480 147 145 7 6
1708089353.8553 154 152 7 7
1708089353.8634 161 160 7 8
1708089353.8713 168 168 7 8
1708089353.8794 175 175 7 7
1708089353.8875 182 182 7 7
1708089353.8955 190 189 8 7
1708089353.9035 198 195 8 6
1708089353.9116 204 202 6 7
1708089353.9194 210 209 6 7
1708089353.9276 217 216 7 7
1708089353.9357 225 222 8 6
1708089353.9437 231 228 6 6
1708089353.9518 238 236 7 8
1708089353.9600 244 244 6 8
1708089353.9678 250 250 6 6
1708089353.9762 258 256 8 6
1708089353.9835 266 263 8 7
1708089353.9912 271 270 5 7
1708089353.9995 276 276 5 6
1708089354.0076 283 282 7 6
1708089354.0154 291 289 8 7
1708089354.0237 297 297 6 8
1708089354.0318 303 303 6 6
1708089354.0400 309 308 6 5
1708089354.0476 317 314 8 6
1708089354.0552 324 322 7 8
1708089354.0634 329 330 5 8
1708089354.0717 335 335 6 5
1708089354.0798 344 340 9 5
1708089354.0879 351 348 7 8
1708089354.0958 356 356 5 8
1708089354.1034 362 363 6 7
1708089354.1114 370 368 8 5
1708089354.1194 378 373 8 5
1708089354.1273 385 381 7 8
1708089354.1354 390 390 5 9
1708089354.1440 396 397 6 7
1708089354.1520 404 403 8 6
1708089354.1600 412 409 8 6
1708089354.1673 418 417 6 8
1708089354.1752 424 425 6 8
1708089354.1833 430 431 6 6
1708089354.1920 438 436 8 5
1708089354.1998 446 442 8 6
1708089354.2079 453 451 7 9
1708089354.2161 458 459 5 8
1708089354.2233 464 465 6 6
1708089354.2313 472 471 8 6
1708089354.2400 480 477 8 6
1708089354.2477 486 485 6 8
1708089354.2562 492 493 6 8
1708089354.2639 498 499 6 6
1708089354.2720 506 505 8 6
1708089354.2802 514 511 8 6
1708089354.2880 520 519 6 8
1708089354.2956 526 527 6 8
1708089354.3043 532 534 6 7
1708089354.3120 540 539 8 5
1708089354.3197 549 545 9 6
1708089354.3281 554 553 5 8
1708089354.3358 559 561 5 8
1708089354.3436 566 568 7 7
1708089354.3517 574 573 8 5
1708089354.3593 581 578 7 5
1708089354.3678 588 585 7 7
1708089354.3762 593 594 5 9
1708089354.3837 600 602 7 8
1708089354.3915 608 607 8 5
1708089354.3994 616 612 8 5
1708089354.4079 622 620 6 8
1708089354.4154 626 629 4 9
1708089354.4238 633 636 7 7
1708089354.4313 641 641 8 5
1708089354.4393 649 647 8 6
1708089354.4474 654 654 5 7
1708089354.4562 658 662 4 8
1708089354.4638 666 668 8 6
1708089354.4721 675 674 9 6
1708089354.4792 682 680 7 6
1708089354.4881 687 688 5 8
1708089354.4952 692 694 5 6
1708089354.5039 699 700 7 6
1708089354.5115 708 706 9 6
1708089354.5195 715 714 7 8
1708089354.5280 720 722 5 8
1708089354.5355 726 728 6 6
1708089354.5434 735 733 9 5
1708089354.5519 742 740 7 7
1708089354.5594 748 748 6 8
1708089354.5673 754 755 6 7
1708089354.5754 761 761 7 6
1708089354.5839 769 766 8 5
1708089354.5919 776 773 7 7
1708089354.5993 783 782 7 9
1708089354.6078 789 788 6 6
1708089354.6161 796 794 7 6
1708089354.6241 804 800 8 6
